Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.67 (2:3, no 1)",True,True,-0.3806247026370672,18.0,two-sided,0.7079364107551505,0.8849205134439381,fdr_bh,0.254,-0.08125478455466417,-0.45438607804422704,0.39035622760803934
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.75 (3:4, no 1)",True,True,0.5972687629761707,18.0,two-sided,0.5577672866007275,0.8696277337595152,fdr_bh,0.279,0.1426080925918527,-0.3954388946101403,0.44923980661350377
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.8 (4:5, no 1)",True,True,-0.11396057645963795,18.0,two-sided,0.9105305458410262,0.9105305458410262,fdr_bh,0.239,-0.02213539946596424,-0.4112915640635079,0.4332598418504156
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.83 (5:6, no 1)",True,True,-0.6852250139532996,18.0,two-sided,0.501931747574857,0.8696277337595152,fdr_bh,0.293,-0.17115535571664423,-0.6421545635973154,0.327751764712191
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.75 (3:4, no 1)",True,True,1.562964216755183,18.0,two-sided,0.13547111895075514,0.8696277337595152,fdr_bh,0.669,0.20916691788967315,-0.35121607220581097,0.49439117037027136
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.8 (4:5, no 1)",True,True,0.24465556354300605,18.0,two-sided,0.8094904012246841,0.8994337791385378,fdr_bh,0.244,0.05175229859704219,-0.38619375026206315,0.45860892856285596
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.83 (5:6, no 1)",True,True,-0.5209676545583742,18.0,two-sided,0.6087394136316606,0.8696277337595152,fdr_bh,0.268,-0.0904097817910722,-0.6032209245380091,0.3641845709513397
condition,"Ratio 0.75 (3:4, no 1)","Ratio 0.8 (4:5, no 1)",True,True,-0.5689197876420209,18.0,two-sided,0.5764411785300936,0.8696277337595152,fdr_bh,0.275,-0.14762764450900415,-0.4370795648761082,0.4074925724721855
condition,"Ratio 0.75 (3:4, no 1)","Ratio 0.83 (5:6, no 1)",True,True,-1.3286549563354457,18.0,two-sided,0.2005610191126091,0.8696277337595152,fdr_bh,0.508,-0.28624214599721887,-0.7978673466340584,0.18823864289714742
condition,"Ratio 0.8 (4:5, no 1)","Ratio 0.83 (5:6, no 1)",True,True,-0.6301023999606665,18.0,two-sided,0.5365452870063909,0.8696277337595152,fdr_bh,0.284,-0.13565018321241204,-0.6290513527442672,0.33994054374311
