Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.67 (2:3, no 1)",True,True,-0.8932370012631204,18.0,two-sided,0.3835175138952992,0.9147503231600034,fdr_bh,0.338,-0.11707322644771193,-0.6307630106470665,0.22251472018320342
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.75 (3:4, no 1)",True,True,0.3003338899196999,18.0,two-sided,0.7673635599016764,0.9147503231600034,fdr_bh,0.247,0.07000129633230605,-0.23541216978836818,0.616755003871726
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.8 (4:5, no 1)",True,True,-0.5467110653077082,18.0,two-sided,0.5912908722191177,0.9147503231600034,fdr_bh,0.272,-0.07290856069669703,-0.42226296650431666,0.42226296650431666
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.83 (5:6, no 1)",True,True,0.09988907373180404,18.0,two-sided,0.9215365156345369,0.9215365156345369,fdr_bh,0.239,0.023976227367834686,-0.45913172076152076,0.5049639710731857
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.75 (3:4, no 1)",True,True,0.6974858324629156,18.0,two-sided,0.4944102849191243,0.9147503231600034,fdr_bh,0.295,0.19286598377570957,-0.17104410279171134,0.6874418822860335
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.8 (4:5, no 1)",True,True,0.34526120258906157,18.0,two-sided,0.733899894654612,0.9147503231600034,fdr_bh,0.251,0.050363296516587636,-0.27302652899790486,0.5763415467599668
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.83 (5:6, no 1)",True,True,0.5957130530893457,18.0,two-sided,0.5587837268187413,0.9147503231600034,fdr_bh,0.278,0.14891297315782887,-0.3475639708791418,0.6208958653806722
condition,"Ratio 0.75 (3:4, no 1)","Ratio 0.8 (4:5, no 1)",True,True,-0.6524994902349723,18.0,two-sided,0.52232554198687,0.9147503231600034,fdr_bh,0.287,-0.15048673389025227,-0.6224063328777939,0.23020029624157665
condition,"Ratio 0.75 (3:4, no 1)","Ratio 0.83 (5:6, no 1)",True,True,-0.22661687238014935,18.0,two-sided,0.8232752908440031,0.9147503231600034,fdr_bh,0.243,-0.049445138605819484,-0.5342996274892934,0.43032067532020657
condition,"Ratio 0.8 (4:5, no 1)","Ratio 0.83 (5:6, no 1)",True,True,0.5242224339966226,18.0,two-sided,0.6065196636713197,0.9147503231600034,fdr_bh,0.269,0.10353680012140315,-0.36345937050949184,0.6039891193229865
