Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.67 (2:3, no 1)",True,True,0.4275124414610703,18.0,two-sided,0.6740768028266677,0.8241455053900452,fdr_bh,0.258,0.07427410389949116,-0.3774936837356812,0.46745935644627806
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.75 (3:4, no 1)",True,True,-0.33468526114612224,18.0,two-sided,0.7417309548510407,0.8241455053900452,fdr_bh,0.25,-0.09381604842530547,-0.5555489662864457,0.2926181355263373
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.8 (4:5, no 1)",True,True,-0.5886308270432439,18.0,two-sided,0.5634232842196343,0.8048904060280491,fdr_bh,0.277,-0.13578406122775996,-0.5615513591361008,0.28694550868197166
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.83 (5:6, no 1)",True,True,-1.1523027682072153,18.0,two-sided,0.264271411985757,0.785574427232173,fdr_bh,0.424,-0.34126823752077184,-0.754689442949037,0.22597667253036052
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.75 (3:4, no 1)",True,True,-0.7785997794633074,18.0,two-sided,0.4463308830869678,0.785574427232173,fdr_bh,0.311,-0.1630543647524081,-0.638615375319799,0.2153159461492486
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.8 (4:5, no 1)",True,True,-0.7357799076287503,18.0,two-sided,0.4713446563393038,0.785574427232173,fdr_bh,0.302,-0.20054934209691277,-0.5615202042390889,0.28697491634012684
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.83 (5:6, no 1)",True,True,-1.5274667897492318,18.0,two-sided,0.14402634661989064,0.785574427232173,fdr_bh,0.64,-0.3930595150111567,-0.8469857178382361,0.14613588877177386
condition,"Ratio 0.75 (3:4, no 1)","Ratio 0.8 (4:5, no 1)",True,True,-0.1550713149187067,18.0,two-sided,0.8784907595576905,0.8784907595576905,fdr_bh,0.24,-0.04591543428193802,-0.41363931376759927,0.43090234904386654
condition,"Ratio 0.75 (3:4, no 1)","Ratio 0.83 (5:6, no 1)",True,True,-1.2039191160735456,18.0,two-sided,0.2442147273413084,0.785574427232173,fdr_bh,0.446,-0.25627777796633644,-0.76728862718232,0.21489265211269903
condition,"Ratio 0.8 (4:5, no 1)","Ratio 0.83 (5:6, no 1)",True,True,-0.8255735141464287,18.0,two-sided,0.41985393231347645,0.785574427232173,fdr_bh,0.321,-0.2046140329115829,-0.6756873757989559,0.29688826857495276
