analysis_id,component,condition,n_subjects,collapsed_peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms,mean_amplitude_roi,peak_amplitude_roi,latency_frac_area_ms,latency_peak_ms,roi_channels
12_21_13_31,P1,Increasing 1 to 2,24,116.0,95.79762033620867,130.75751839842528,34.95989806221661,-0.6431257579712886,-0.29148521476541395,116.0,96.0,E71;E75;E76;E70;E83;E74;E81;E82
12_21_13_31,P1,Decreasing 2 to 1,24,116.0,95.79762033620867,130.75751839842528,34.95989806221661,2.249009069300201,2.7329544498503293,114.3302680892652,124.0,E71;E75;E76;E70;E83;E74;E81;E82
12_21_13_31,P1,Increasing 1 to 3,24,116.0,95.79762033620867,130.75751839842528,34.95989806221661,-0.6467439272515814,-0.21400377848396193,116.0,108.0,E71;E75;E76;E70;E83;E74;E81;E82
12_21_13_31,P1,Decreasing 3 to 1,24,116.0,95.79762033620867,130.75751839842528,34.95989806221661,1.7297406801785868,2.3763165630755845,115.50187744175791,120.0,E71;E75;E76;E70;E83;E74;E81;E82
12_21_13_31,N1,Increasing 1 to 2,24,176.0,144.53312471731238,213.6816855445914,69.14856082727903,-2.791093902756465,-3.365121225063693,175.81938972022968,160.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
12_21_13_31,N1,Decreasing 2 to 1,24,176.0,144.53312471731238,213.6816855445914,69.14856082727903,-0.9901924483483315,-2.2962580713331944,176.84630232960552,176.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
12_21_13_31,N1,Increasing 1 to 3,24,176.0,144.53312471731238,213.6816855445914,69.14856082727903,-4.255302756062928,-4.923455335933042,176.97200005705614,164.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
12_21_13_31,N1,Decreasing 3 to 1,24,176.0,144.53312471731238,213.6816855445914,69.14856082727903,-1.9032531939746775,-2.993675457915738,182.23445419192666,180.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
12_21_13_31,P3b,Increasing 1 to 2,24,480.0,417.21548766043816,537.4241148428013,120.2086271823631,1.9344547692698393,2.2043817343719456,481.763978152825,504.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
12_21_13_31,P3b,Decreasing 2 to 1,24,480.0,417.21548766043816,537.4241148428013,120.2086271823631,2.6968403867660724,3.381464690367733,481.88800588017654,476.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
12_21_13_31,P3b,Increasing 1 to 3,24,480.0,417.21548766043816,537.4241148428013,120.2086271823631,3.142898683749069,3.6450556170001556,474.0447927759667,440.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
12_21_13_31,P3b,Decreasing 3 to 1,24,480.0,417.21548766043816,537.4241148428013,120.2086271823631,2.9510554175314394,3.5649943493824003,474.9436293264753,476.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
12_21_13_31,Fz,Increasing 1 to 2,24,108.0,86.66100927821785,122.24366070649228,35.58265142827443,0.44986439444798726,0.15115120715227773,108.0,88.0,E11;E4;E5;E12;E19;E18;E16;E10
12_21_13_31,Fz,Decreasing 2 to 1,24,108.0,86.66100927821785,122.24366070649228,35.58265142827443,-0.8056089872009939,-1.0272516094885422,106.36857186030356,108.0,E11;E4;E5;E12;E19;E18;E16;E10
12_21_13_31,Fz,Increasing 1 to 3,24,108.0,86.66100927821785,122.24366070649228,35.58265142827443,0.9333337555867031,0.6921958622537114,108.0,88.0,E11;E4;E5;E12;E19;E18;E16;E10
12_21_13_31,Fz,Decreasing 3 to 1,24,108.0,86.66100927821785,122.24366070649228,35.58265142827443,-0.5541495248167778,-1.0212246042585054,110.58113852066741,116.0,E11;E4;E5;E12;E19;E18;E16;E10
