subject,set,included,epoch_count,exclusion_reason
02,Increasing 1 to 4,True,7,
02,Decreasing 4 to 1,True,7,
03,Increasing 1 to 4,True,6,
03,Decreasing 4 to 1,True,7,
04,Increasing 1 to 4,True,5,
04,Decreasing 4 to 1,True,5,
05,Increasing 1 to 4,True,6,
05,Decreasing 4 to 1,True,4,
08,Increasing 1 to 4,True,7,
08,Decreasing 4 to 1,True,7,
09,Increasing 1 to 4,True,6,
09,Decreasing 4 to 1,True,4,
10,Increasing 1 to 4,True,8,
10,Decreasing 4 to 1,True,2,
11,Increasing 1 to 4,True,6,
11,Decreasing 4 to 1,True,3,
12,Increasing 1 to 4,True,6,
12,Decreasing 4 to 1,True,5,
13,Increasing 1 to 4,True,5,
13,Decreasing 4 to 1,True,4,
14,Increasing 1 to 4,True,6,
14,Decreasing 4 to 1,True,6,
15,Increasing 1 to 4,True,6,
15,Decreasing 4 to 1,True,5,
17,Increasing 1 to 4,True,7,
17,Decreasing 4 to 1,True,7,
21,Increasing 1 to 4,True,7,
21,Decreasing 4 to 1,True,5,
22,Increasing 1 to 4,True,7,
22,Decreasing 4 to 1,True,7,
23,Increasing 1 to 4,True,8,
23,Decreasing 4 to 1,True,7,
25,Increasing 1 to 4,True,6,
25,Decreasing 4 to 1,True,7,
26,Increasing 1 to 4,True,5,
26,Decreasing 4 to 1,True,5,
27,Increasing 1 to 4,True,7,
27,Decreasing 4 to 1,True,8,
28,Increasing 1 to 4,True,4,
28,Decreasing 4 to 1,True,4,
29,Increasing 1 to 4,True,7,
29,Decreasing 4 to 1,True,7,
31,Increasing 1 to 4,True,7,
31,Decreasing 4 to 1,True,7,
32,Increasing 1 to 4,True,8,
32,Decreasing 4 to 1,True,7,
33,Increasing 1 to 4,True,7,
33,Decreasing 4 to 1,True,6,
