subject,set,included,epoch_count,exclusion_reason
02,65 Incorrect,True,8,
02,65 Correct,False,0,insufficient_epochs(<1)
03,65 Incorrect,True,5,
03,65 Correct,False,0,insufficient_epochs(<1)
04,65 Incorrect,True,8,
04,65 Correct,True,1,
05,65 Incorrect,True,3,
05,65 Correct,True,1,
08,65 Incorrect,True,6,
08,65 Correct,False,0,insufficient_epochs(<1)
09,65 Incorrect,True,6,
09,65 Correct,False,0,insufficient_epochs(<1)
10,65 Incorrect,True,7,
10,65 Correct,False,0,insufficient_epochs(<1)
11,65 Incorrect,True,4,
11,65 Correct,True,3,
12,65 Incorrect,True,5,
12,65 Correct,True,1,
13,65 Incorrect,True,3,
13,65 Correct,True,3,
14,65 Incorrect,True,4,
14,65 Correct,True,2,
15,65 Incorrect,True,6,
15,65 Correct,False,0,insufficient_epochs(<1)
17,65 Incorrect,True,1,
17,65 Correct,True,4,
21,65 Incorrect,True,3,
21,65 Correct,True,5,
22,65 Incorrect,True,3,
22,65 Correct,True,2,
23,65 Incorrect,True,6,
23,65 Correct,False,0,insufficient_epochs(<1)
25,65 Incorrect,True,2,
25,65 Correct,True,4,
26,65 Incorrect,True,4,
26,65 Correct,True,5,
27,65 Incorrect,True,3,
27,65 Correct,True,4,
28,65 Incorrect,True,3,
28,65 Correct,False,0,insufficient_epochs(<1)
29,65 Incorrect,True,4,
29,65 Correct,True,3,
31,65 Incorrect,True,5,
31,65 Correct,True,2,
32,65 Incorrect,True,4,
32,65 Correct,True,2,
33,65 Incorrect,True,1,
33,65 Correct,True,6,
