subject,set,included,epoch_count,exclusion_reason
02,65 ALL,True,8,
02,65 ACC1,False,0,insufficient_epochs(<1)
03,65 ALL,True,5,
03,65 ACC1,False,0,insufficient_epochs(<1)
04,65 ALL,True,9,
04,65 ACC1,True,1,
05,65 ALL,True,4,
05,65 ACC1,True,1,
08,65 ALL,True,6,
08,65 ACC1,False,0,insufficient_epochs(<1)
09,65 ALL,True,6,
09,65 ACC1,False,0,insufficient_epochs(<1)
10,65 ALL,True,7,
10,65 ACC1,False,0,insufficient_epochs(<1)
11,65 ALL,True,7,
11,65 ACC1,True,3,
12,65 ALL,True,6,
12,65 ACC1,True,1,
13,65 ALL,True,6,
13,65 ACC1,True,3,
14,65 ALL,True,6,
14,65 ACC1,True,2,
15,65 ALL,True,6,
15,65 ACC1,False,0,insufficient_epochs(<1)
17,65 ALL,True,5,
17,65 ACC1,True,4,
21,65 ALL,True,8,
21,65 ACC1,True,5,
22,65 ALL,True,5,
22,65 ACC1,True,2,
23,65 ALL,True,6,
23,65 ACC1,False,0,insufficient_epochs(<1)
25,65 ALL,True,6,
25,65 ACC1,True,4,
26,65 ALL,True,9,
26,65 ACC1,True,5,
27,65 ALL,True,7,
27,65 ACC1,True,4,
28,65 ALL,True,3,
28,65 ACC1,False,0,insufficient_epochs(<1)
29,65 ALL,True,7,
29,65 ACC1,True,3,
31,65 ALL,True,7,
31,65 ACC1,True,2,
32,65 ALL,True,6,
32,65 ACC1,True,2,
33,65 ALL,True,7,
33,65 ACC1,True,6,
