subject,set,included,epoch_count,exclusion_reason
02,Acc1 (incorrect),True,28,
02,Acc1 (correct),True,140,
03,Acc1 (incorrect),True,24,
03,Acc1 (correct),True,132,
04,Acc1 (incorrect),True,59,
04,Acc1 (correct),True,112,
05,Acc1 (incorrect),True,34,
05,Acc1 (correct),True,111,
08,Acc1 (incorrect),True,35,
08,Acc1 (correct),True,113,
09,Acc1 (incorrect),True,36,
09,Acc1 (correct),True,102,
10,Acc1 (incorrect),True,33,
10,Acc1 (correct),True,125,
11,Acc1 (incorrect),True,32,
11,Acc1 (correct),True,107,
12,Acc1 (incorrect),True,35,
12,Acc1 (correct),True,104,
13,Acc1 (incorrect),True,34,
13,Acc1 (correct),True,123,
14,Acc1 (incorrect),True,13,
14,Acc1 (correct),True,143,
15,Acc1 (incorrect),True,58,
15,Acc1 (correct),True,91,
17,Acc1 (incorrect),True,5,
17,Acc1 (correct),True,141,
21,Acc1 (incorrect),True,24,
21,Acc1 (correct),True,116,
22,Acc1 (incorrect),True,27,
22,Acc1 (correct),True,126,
23,Acc1 (incorrect),True,34,
23,Acc1 (correct),True,135,
25,Acc1 (incorrect),True,15,
25,Acc1 (correct),True,127,
26,Acc1 (incorrect),True,14,
26,Acc1 (correct),True,140,
27,Acc1 (incorrect),True,17,
27,Acc1 (correct),True,150,
28,Acc1 (incorrect),True,29,
28,Acc1 (correct),True,105,
29,Acc1 (incorrect),True,23,
29,Acc1 (correct),True,141,
31,Acc1 (incorrect),True,8,
31,Acc1 (correct),True,151,
32,Acc1 (incorrect),True,19,
32,Acc1 (correct),True,135,
33,Acc1 (incorrect),True,27,
33,Acc1 (correct),True,127,
