subject,set,included,epoch_count,exclusion_reason
02,Cardinality1,False,7,insufficient_epochs(<8)
02,Cardinality2,False,5,insufficient_epochs(<8)
02,Cardinality3,False,7,insufficient_epochs(<8)
03,Cardinality1,False,3,insufficient_epochs(<8)
03,Cardinality2,False,5,insufficient_epochs(<8)
03,Cardinality3,False,5,insufficient_epochs(<8)
04,Cardinality1,True,8,
04,Cardinality2,True,8,
04,Cardinality3,False,7,insufficient_epochs(<8)
05,Cardinality1,False,7,insufficient_epochs(<8)
05,Cardinality2,False,6,insufficient_epochs(<8)
05,Cardinality3,True,8,
08,Cardinality1,False,6,insufficient_epochs(<8)
08,Cardinality2,True,9,
08,Cardinality3,False,6,insufficient_epochs(<8)
09,Cardinality1,False,4,insufficient_epochs(<8)
09,Cardinality2,False,5,insufficient_epochs(<8)
09,Cardinality3,False,7,insufficient_epochs(<8)
10,Cardinality1,False,5,insufficient_epochs(<8)
10,Cardinality2,True,8,
10,Cardinality3,True,8,
11,Cardinality1,False,6,insufficient_epochs(<8)
11,Cardinality2,False,4,insufficient_epochs(<8)
11,Cardinality3,False,5,insufficient_epochs(<8)
12,Cardinality1,False,4,insufficient_epochs(<8)
12,Cardinality2,False,5,insufficient_epochs(<8)
12,Cardinality3,False,3,insufficient_epochs(<8)
13,Cardinality1,True,9,
13,Cardinality2,False,4,insufficient_epochs(<8)
13,Cardinality3,False,7,insufficient_epochs(<8)
14,Cardinality1,False,6,insufficient_epochs(<8)
14,Cardinality2,False,4,insufficient_epochs(<8)
14,Cardinality3,False,6,insufficient_epochs(<8)
15,Cardinality1,False,7,insufficient_epochs(<8)
15,Cardinality2,False,4,insufficient_epochs(<8)
15,Cardinality3,False,5,insufficient_epochs(<8)
17,Cardinality1,False,6,insufficient_epochs(<8)
17,Cardinality2,False,4,insufficient_epochs(<8)
17,Cardinality3,False,7,insufficient_epochs(<8)
21,Cardinality1,False,7,insufficient_epochs(<8)
21,Cardinality2,False,4,insufficient_epochs(<8)
21,Cardinality3,False,5,insufficient_epochs(<8)
22,Cardinality1,False,7,insufficient_epochs(<8)
22,Cardinality2,False,5,insufficient_epochs(<8)
22,Cardinality3,False,6,insufficient_epochs(<8)
23,Cardinality1,False,6,insufficient_epochs(<8)
23,Cardinality2,False,6,insufficient_epochs(<8)
23,Cardinality3,False,5,insufficient_epochs(<8)
25,Cardinality1,True,9,
25,Cardinality2,False,6,insufficient_epochs(<8)
25,Cardinality3,True,8,
26,Cardinality1,False,7,insufficient_epochs(<8)
26,Cardinality2,False,7,insufficient_epochs(<8)
26,Cardinality3,False,5,insufficient_epochs(<8)
27,Cardinality1,False,7,insufficient_epochs(<8)
27,Cardinality2,True,8,
27,Cardinality3,True,8,
28,Cardinality1,False,7,insufficient_epochs(<8)
28,Cardinality2,False,7,insufficient_epochs(<8)
28,Cardinality3,False,3,insufficient_epochs(<8)
29,Cardinality1,False,5,insufficient_epochs(<8)
29,Cardinality2,False,7,insufficient_epochs(<8)
29,Cardinality3,False,6,insufficient_epochs(<8)
31,Cardinality1,False,6,insufficient_epochs(<8)
31,Cardinality2,False,3,insufficient_epochs(<8)
31,Cardinality3,False,5,insufficient_epochs(<8)
32,Cardinality1,False,3,insufficient_epochs(<8)
32,Cardinality2,False,7,insufficient_epochs(<8)
32,Cardinality3,False,7,insufficient_epochs(<8)
33,Cardinality1,True,8,
33,Cardinality2,False,7,insufficient_epochs(<8)
33,Cardinality3,False,6,insufficient_epochs(<8)
