analysis_id,component,condition,n_subjects,collapsed_peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms,mean_amplitude_roi,peak_amplitude_roi,latency_frac_area_ms,latency_peak_ms,roi_channels
change_by_123_ALL,P1,Change by 1,24,108.0,89.15095483260774,119.32517752302408,30.174222690416343,0.2831915394698127,0.3834272784182168,103.83389881393938,104.0,E71;E75;E76;E70;E83;E74;E81;E82
change_by_123_ALL,P1,Change by 2,24,108.0,89.15095483260774,119.32517752302408,30.174222690416343,0.4001081744601671,0.6025284754593432,106.78242005668437,108.0,E71;E75;E76;E70;E83;E74;E81;E82
change_by_123_ALL,P1,Change by 3,24,108.0,89.15095483260774,119.32517752302408,30.174222690416343,0.5688263094629767,0.7049471322948686,104.24824964279708,104.0,E71;E75;E76;E70;E83;E74;E81;E82
change_by_123_ALL,N1,Change by 1,24,172.0,140.45716731788963,209.9928561929969,69.53568887510727,-3.2204017302829384,-3.904440411930716,174.13408332872348,172.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
change_by_123_ALL,N1,Change by 2,24,172.0,140.45716731788963,209.9928561929969,69.53568887510727,-3.4370446812306863,-4.069705501476346,175.05281109142672,172.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
change_by_123_ALL,N1,Change by 3,24,172.0,140.45716731788963,209.9928561929969,69.53568887510727,-3.7055015017575994,-4.407856868601103,175.75104989239463,176.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
change_by_123_ALL,P3b,Change by 1,24,472.0,416.1423965561754,535.94652300819,119.80412645201454,1.747337877618089,2.010644788026979,479.0637576669686,476.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
change_by_123_ALL,P3b,Change by 2,24,472.0,416.1423965561754,535.94652300819,119.80412645201454,2.400087851196069,2.865433532102052,474.06008147684366,468.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
change_by_123_ALL,P3b,Change by 3,24,472.0,416.1423965561754,535.94652300819,119.80412645201454,2.578297775877743,3.090115210332516,473.06604514380405,472.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
change_by_123_ALL,Fz,Change by 1,24,104.0,88.58549922173873,116.0785216121601,27.493022390421373,-0.3749346427960877,-0.5359252493209495,102.70264256408296,104.0,E11;E4;E5;E12;E19;E18;E16;E10
change_by_123_ALL,Fz,Change by 2,24,104.0,88.58549922173873,116.0785216121601,27.493022390421373,-0.5217824695818157,-0.7141202499902446,104.71518197955004,104.0,E11;E4;E5;E12;E19;E18;E16;E10
change_by_123_ALL,Fz,Change by 3,24,104.0,88.58549922173873,116.0785216121601,27.493022390421373,-0.6670980831561778,-0.8620511173539327,103.03053309228439,104.0,E11;E4;E5;E12;E19;E18;E16;E10
