subject,set,included,epoch_count,exclusion_reason
02,Change by 1,True,68,
02,Change by 2,True,57,
02,Change by 3,True,43,
03,Change by 1,True,69,
03,Change by 2,True,48,
03,Change by 3,True,39,
04,Change by 1,True,75,
04,Change by 2,True,58,
04,Change by 3,True,38,
05,Change by 1,True,58,
05,Change by 2,True,56,
05,Change by 3,True,31,
08,Change by 1,True,61,
08,Change by 2,True,51,
08,Change by 3,True,36,
09,Change by 1,True,56,
09,Change by 2,True,45,
09,Change by 3,True,37,
10,Change by 1,True,67,
10,Change by 2,True,51,
10,Change by 3,True,40,
11,Change by 1,True,59,
11,Change by 2,True,44,
11,Change by 3,True,36,
12,Change by 1,True,60,
12,Change by 2,True,48,
12,Change by 3,True,31,
13,Change by 1,True,70,
13,Change by 2,True,48,
13,Change by 3,True,39,
14,Change by 1,True,68,
14,Change by 2,True,50,
14,Change by 3,True,38,
15,Change by 1,True,58,
15,Change by 2,True,53,
15,Change by 3,True,38,
17,Change by 1,True,56,
17,Change by 2,True,55,
17,Change by 3,True,35,
21,Change by 1,True,58,
21,Change by 2,True,47,
21,Change by 3,True,35,
22,Change by 1,True,60,
22,Change by 2,True,54,
22,Change by 3,True,39,
23,Change by 1,True,66,
23,Change by 2,True,59,
23,Change by 3,True,44,
25,Change by 1,True,61,
25,Change by 2,True,40,
25,Change by 3,True,41,
26,Change by 1,True,76,
26,Change by 2,True,42,
26,Change by 3,True,36,
27,Change by 1,True,67,
27,Change by 2,True,56,
27,Change by 3,True,44,
28,Change by 1,True,57,
28,Change by 2,True,45,
28,Change by 3,True,32,
29,Change by 1,True,66,
29,Change by 2,True,58,
29,Change by 3,True,40,
31,Change by 1,True,65,
31,Change by 2,True,54,
31,Change by 3,True,40,
32,Change by 1,True,64,
32,Change by 2,True,50,
32,Change by 3,True,40,
33,Change by 1,True,67,
33,Change by 2,True,47,
33,Change by 3,True,40,
