subject,set,included,epoch_count,exclusion_reason
02,Decrease by 1,True,36,
02,Decrease by 2,True,29,
02,Decrease by 3,True,21,
03,Decrease by 1,True,36,
03,Decrease by 2,True,22,
03,Decrease by 3,True,20,
04,Decrease by 1,True,38,
04,Decrease by 2,True,28,
04,Decrease by 3,True,17,
05,Decrease by 1,True,27,
05,Decrease by 2,True,29,
05,Decrease by 3,True,16,
08,Decrease by 1,True,29,
08,Decrease by 2,True,28,
08,Decrease by 3,True,16,
09,Decrease by 1,True,28,
09,Decrease by 2,True,25,
09,Decrease by 3,True,19,
10,Decrease by 1,True,34,
10,Decrease by 2,True,28,
10,Decrease by 3,True,17,
11,Decrease by 1,True,28,
11,Decrease by 2,True,21,
11,Decrease by 3,True,16,
12,Decrease by 1,True,28,
12,Decrease by 2,True,25,
12,Decrease by 3,True,15,
13,Decrease by 1,True,34,
13,Decrease by 2,True,27,
13,Decrease by 3,True,19,
14,Decrease by 1,True,36,
14,Decrease by 2,True,25,
14,Decrease by 3,True,19,
15,Decrease by 1,True,27,
15,Decrease by 2,True,27,
15,Decrease by 3,True,17,
17,Decrease by 1,True,29,
17,Decrease by 2,True,28,
17,Decrease by 3,True,18,
21,Decrease by 1,True,31,
21,Decrease by 2,True,25,
21,Decrease by 3,True,19,
22,Decrease by 1,True,30,
22,Decrease by 2,True,28,
22,Decrease by 3,True,21,
23,Decrease by 1,True,32,
23,Decrease by 2,True,30,
23,Decrease by 3,True,23,
25,Decrease by 1,True,28,
25,Decrease by 2,True,20,
25,Decrease by 3,True,19,
26,Decrease by 1,True,42,
26,Decrease by 2,True,22,
26,Decrease by 3,True,20,
27,Decrease by 1,True,35,
27,Decrease by 2,True,27,
27,Decrease by 3,True,21,
28,Decrease by 1,True,24,
28,Decrease by 2,True,21,
28,Decrease by 3,True,18,
29,Decrease by 1,True,36,
29,Decrease by 2,True,31,
29,Decrease by 3,True,20,
31,Decrease by 1,True,31,
31,Decrease by 2,True,31,
31,Decrease by 3,True,19,
32,Decrease by 1,True,34,
32,Decrease by 2,True,28,
32,Decrease by 3,True,22,
33,Decrease by 1,True,32,
33,Decrease by 2,True,21,
33,Decrease by 3,True,20,
