subject,set,included,epoch_count,exclusion_reason
02,Decrease by 1 (Incorrect),True,12,
02,Decrease by 1 (Correct),True,24,
03,Decrease by 1 (Incorrect),True,8,
03,Decrease by 1 (Correct),True,28,
04,Decrease by 1 (Incorrect),True,18,
04,Decrease by 1 (Correct),True,20,
05,Decrease by 1 (Incorrect),True,6,
05,Decrease by 1 (Correct),True,21,
08,Decrease by 1 (Incorrect),True,8,
08,Decrease by 1 (Correct),True,21,
09,Decrease by 1 (Incorrect),True,8,
09,Decrease by 1 (Correct),True,20,
10,Decrease by 1 (Incorrect),True,10,
10,Decrease by 1 (Correct),True,24,
11,Decrease by 1 (Incorrect),True,6,
11,Decrease by 1 (Correct),True,22,
12,Decrease by 1 (Incorrect),True,10,
12,Decrease by 1 (Correct),True,18,
13,Decrease by 1 (Incorrect),True,11,
13,Decrease by 1 (Correct),True,23,
14,Decrease by 1 (Incorrect),True,5,
14,Decrease by 1 (Correct),True,31,
15,Decrease by 1 (Incorrect),True,10,
15,Decrease by 1 (Correct),True,17,
17,Decrease by 1 (Incorrect),True,1,
17,Decrease by 1 (Correct),True,28,
21,Decrease by 1 (Incorrect),True,5,
21,Decrease by 1 (Correct),True,26,
22,Decrease by 1 (Incorrect),True,10,
22,Decrease by 1 (Correct),True,20,
23,Decrease by 1 (Incorrect),True,7,
23,Decrease by 1 (Correct),True,25,
25,Decrease by 1 (Incorrect),True,2,
25,Decrease by 1 (Correct),True,26,
26,Decrease by 1 (Incorrect),True,5,
26,Decrease by 1 (Correct),True,37,
27,Decrease by 1 (Incorrect),True,6,
27,Decrease by 1 (Correct),True,29,
28,Decrease by 1 (Incorrect),True,5,
28,Decrease by 1 (Correct),True,19,
29,Decrease by 1 (Incorrect),True,7,
29,Decrease by 1 (Correct),True,29,
31,Decrease by 1 (Incorrect),True,5,
31,Decrease by 1 (Correct),True,26,
32,Decrease by 1 (Incorrect),True,7,
32,Decrease by 1 (Correct),True,27,
33,Decrease by 1 (Incorrect),True,4,
33,Decrease by 1 (Correct),True,28,
