subject,set,included,epoch_count,exclusion_reason
02,4 to 1,True,7,
02,5 to 2,True,7,
02,6 to 3,True,6,
03,4 to 1,True,7,
03,5 to 2,True,6,
03,6 to 3,True,6,
04,4 to 1,True,5,
04,5 to 2,True,4,
04,6 to 3,True,5,
05,4 to 1,True,4,
05,5 to 2,True,6,
05,6 to 3,True,6,
08,4 to 1,True,7,
08,5 to 2,True,7,
08,6 to 3,True,2,
09,4 to 1,True,4,
09,5 to 2,True,8,
09,6 to 3,True,7,
10,4 to 1,True,2,
10,5 to 2,True,8,
10,6 to 3,True,4,
11,4 to 1,True,3,
11,5 to 2,True,6,
11,6 to 3,True,6,
12,4 to 1,True,5,
12,5 to 2,True,5,
12,6 to 3,True,5,
13,4 to 1,True,4,
13,5 to 2,True,5,
13,6 to 3,True,7,
14,4 to 1,True,6,
14,5 to 2,True,7,
14,6 to 3,True,6,
15,4 to 1,True,5,
15,5 to 2,True,1,
15,6 to 3,True,5,
17,4 to 1,True,7,
17,5 to 2,True,6,
17,6 to 3,True,5,
21,4 to 1,True,5,
21,5 to 2,True,7,
21,6 to 3,True,7,
22,4 to 1,True,7,
22,5 to 2,True,6,
22,6 to 3,True,6,
23,4 to 1,True,7,
23,5 to 2,True,8,
23,6 to 3,True,7,
25,4 to 1,True,7,
25,5 to 2,True,6,
25,6 to 3,True,5,
26,4 to 1,True,5,
26,5 to 2,True,6,
26,6 to 3,True,8,
27,4 to 1,True,8,
27,5 to 2,True,6,
27,6 to 3,True,6,
28,4 to 1,True,4,
28,5 to 2,True,6,
28,6 to 3,True,6,
29,4 to 1,True,7,
29,5 to 2,True,8,
29,6 to 3,True,5,
31,4 to 1,True,7,
31,5 to 2,True,6,
31,6 to 3,True,6,
32,4 to 1,True,7,
32,5 to 2,True,7,
32,6 to 3,True,8,
33,4 to 1,True,6,
33,5 to 2,True,6,
33,6 to 3,True,6,
