subject,set,included,epoch_count,exclusion_reason
02,Decreasing Small,True,19,
02,Decreasing Crossover,True,39,
02,Decreasing Large,True,13,
03,Decreasing Small,True,20,
03,Decreasing Crossover,True,35,
03,Decreasing Large,True,11,
04,Decreasing Small,True,15,
04,Decreasing Crossover,True,31,
04,Decreasing Large,True,13,
05,Decreasing Small,True,14,
05,Decreasing Crossover,True,38,
05,Decreasing Large,True,10,
08,Decreasing Small,True,19,
08,Decreasing Crossover,True,36,
08,Decreasing Large,True,8,
09,Decreasing Small,True,12,
09,Decreasing Crossover,True,37,
09,Decreasing Large,True,10,
10,Decreasing Small,True,16,
10,Decreasing Crossover,True,36,
10,Decreasing Large,True,10,
11,Decreasing Small,True,15,
11,Decreasing Crossover,True,26,
11,Decreasing Large,True,11,
12,Decreasing Small,True,15,
12,Decreasing Crossover,True,28,
12,Decreasing Large,True,9,
13,Decreasing Small,True,13,
13,Decreasing Crossover,True,36,
13,Decreasing Large,True,16,
14,Decreasing Small,True,21,
14,Decreasing Crossover,True,35,
14,Decreasing Large,True,18,
15,Decreasing Small,True,12,
15,Decreasing Crossover,True,23,
15,Decreasing Large,True,7,
17,Decreasing Small,True,17,
17,Decreasing Crossover,True,39,
17,Decreasing Large,True,16,
21,Decreasing Small,True,18,
21,Decreasing Crossover,True,37,
21,Decreasing Large,True,12,
22,Decreasing Small,True,16,
22,Decreasing Crossover,True,37,
22,Decreasing Large,True,13,
23,Decreasing Small,True,19,
23,Decreasing Crossover,True,42,
23,Decreasing Large,True,14,
25,Decreasing Small,True,16,
25,Decreasing Crossover,True,32,
25,Decreasing Large,True,15,
26,Decreasing Small,True,21,
26,Decreasing Crossover,True,39,
26,Decreasing Large,True,18,
27,Decreasing Small,True,21,
27,Decreasing Crossover,True,40,
27,Decreasing Large,True,15,
28,Decreasing Small,True,14,
28,Decreasing Crossover,True,31,
28,Decreasing Large,True,9,
29,Decreasing Small,True,22,
29,Decreasing Crossover,True,40,
29,Decreasing Large,True,16,
31,Decreasing Small,True,20,
31,Decreasing Crossover,True,39,
31,Decreasing Large,True,17,
32,Decreasing Small,True,19,
32,Decreasing Crossover,True,42,
32,Decreasing Large,True,16,
33,Decreasing Small,True,14,
33,Decreasing Crossover,True,33,
33,Decreasing Large,True,16,
