subject,set,included,epoch_count,exclusion_reason
02,Decreasing Small (no 1),True,7,
02,Decreasing Crossover (no 1),True,33,
02,Decreasing Large (no 1),True,25,
03,Decreasing Small (no 1),True,7,
03,Decreasing Crossover (no 1),True,30,
03,Decreasing Large (no 1),True,19,
04,Decreasing Small (no 1),True,8,
04,Decreasing Crossover (no 1),True,30,
04,Decreasing Large (no 1),True,25,
05,Decreasing Small (no 1),True,4,
05,Decreasing Crossover (no 1),True,35,
05,Decreasing Large (no 1),True,17,
08,Decreasing Small (no 1),True,6,
08,Decreasing Crossover (no 1),True,29,
08,Decreasing Large (no 1),True,18,
09,Decreasing Small (no 1),True,3,
09,Decreasing Crossover (no 1),True,35,
09,Decreasing Large (no 1),True,19,
10,Decreasing Small (no 1),True,7,
10,Decreasing Crossover (no 1),True,36,
10,Decreasing Large (no 1),True,20,
11,Decreasing Small (no 1),True,7,
11,Decreasing Crossover (no 1),True,29,
11,Decreasing Large (no 1),True,17,
12,Decreasing Small (no 1),True,6,
12,Decreasing Crossover (no 1),True,24,
12,Decreasing Large (no 1),True,20,
13,Decreasing Small (no 1),True,6,
13,Decreasing Crossover (no 1),True,35,
13,Decreasing Large (no 1),True,20,
14,Decreasing Small (no 1),True,6,
14,Decreasing Crossover (no 1),True,30,
14,Decreasing Large (no 1),True,23,
15,Decreasing Small (no 1),True,5,
15,Decreasing Crossover (no 1),True,28,
15,Decreasing Large (no 1),True,18,
17,Decreasing Small (no 1),True,5,
17,Decreasing Crossover (no 1),True,33,
17,Decreasing Large (no 1),True,18,
21,Decreasing Small (no 1),True,6,
21,Decreasing Crossover (no 1),True,32,
21,Decreasing Large (no 1),True,18,
22,Decreasing Small (no 1),True,6,
22,Decreasing Crossover (no 1),True,35,
22,Decreasing Large (no 1),True,18,
23,Decreasing Small (no 1),True,4,
23,Decreasing Crossover (no 1),True,38,
23,Decreasing Large (no 1),True,20,
25,Decreasing Small (no 1),True,4,
25,Decreasing Crossover (no 1),True,26,
25,Decreasing Large (no 1),True,18,
26,Decreasing Small (no 1),True,9,
26,Decreasing Crossover (no 1),True,34,
26,Decreasing Large (no 1),True,23,
27,Decreasing Small (no 1),True,8,
27,Decreasing Crossover (no 1),True,33,
27,Decreasing Large (no 1),True,19,
28,Decreasing Small (no 1),True,7,
28,Decreasing Crossover (no 1),True,28,
28,Decreasing Large (no 1),True,13,
29,Decreasing Small (no 1),True,7,
29,Decreasing Crossover (no 1),True,35,
29,Decreasing Large (no 1),True,22,
31,Decreasing Small (no 1),True,7,
31,Decreasing Crossover (no 1),True,32,
31,Decreasing Large (no 1),True,22,
32,Decreasing Small (no 1),True,7,
32,Decreasing Crossover (no 1),True,36,
32,Decreasing Large (no 1),True,20,
33,Decreasing Small (no 1),True,7,
33,Decreasing Crossover (no 1),True,30,
33,Decreasing Large (no 1),True,18,
