subject,set,included,epoch_count,exclusion_reason,roi_available_vs_required
02,1 to 2,True,9,,25/4
02,1 to 3,True,9,,25/4
02,1 to 4,True,9,,25/4
03,1 to 2,True,9,,25/4
03,1 to 3,True,9,,25/4
03,1 to 4,True,9,,25/4
04,1 to 2,True,9,,25/4
04,1 to 3,True,9,,25/4
04,1 to 4,True,9,,25/4
05,1 to 2,True,9,,25/4
05,1 to 3,True,9,,25/4
05,1 to 4,True,9,,25/4
08,1 to 2,True,9,,25/4
08,1 to 3,True,9,,25/4
08,1 to 4,True,9,,25/4
09,1 to 2,True,9,,25/4
09,1 to 3,True,9,,25/4
09,1 to 4,True,9,,25/4
10,1 to 2,True,9,,25/4
10,1 to 3,True,9,,25/4
10,1 to 4,True,9,,25/4
11,1 to 2,True,9,,25/4
11,1 to 3,True,9,,25/4
11,1 to 4,True,9,,25/4
12,1 to 2,True,9,,25/4
12,1 to 3,True,9,,25/4
12,1 to 4,True,9,,25/4
13,1 to 2,True,9,,25/4
13,1 to 3,True,9,,25/4
13,1 to 4,True,9,,25/4
14,1 to 2,True,9,,25/4
14,1 to 3,True,9,,25/4
14,1 to 4,True,9,,25/4
15,1 to 2,True,9,,25/4
15,1 to 3,True,9,,25/4
15,1 to 4,True,9,,25/4
17,1 to 2,True,9,,25/4
17,1 to 3,True,9,,25/4
17,1 to 4,True,9,,25/4
21,1 to 2,True,9,,25/4
21,1 to 3,True,9,,25/4
21,1 to 4,True,9,,25/4
22,1 to 2,True,9,,25/4
22,1 to 3,True,9,,25/4
22,1 to 4,True,9,,25/4
23,1 to 2,True,9,,25/4
23,1 to 3,True,9,,25/4
23,1 to 4,True,9,,25/4
25,1 to 2,True,9,,25/4
25,1 to 3,True,9,,25/4
25,1 to 4,True,9,,25/4
26,1 to 2,True,9,,25/4
26,1 to 3,True,9,,25/4
26,1 to 4,True,9,,25/4
27,1 to 2,True,9,,25/4
27,1 to 3,True,9,,25/4
27,1 to 4,True,9,,25/4
28,1 to 2,True,9,,25/4
28,1 to 3,True,9,,25/4
28,1 to 4,True,9,,25/4
29,1 to 2,True,9,,25/4
29,1 to 3,True,9,,25/4
29,1 to 4,True,9,,25/4
31,1 to 2,True,9,,25/4
31,1 to 3,True,9,,25/4
31,1 to 4,True,9,,25/4
32,1 to 2,True,9,,25/4
32,1 to 3,True,9,,25/4
32,1 to 4,True,9,,25/4
33,1 to 2,True,9,,25/4
33,1 to 3,True,9,,25/4
33,1 to 4,True,9,,25/4
