subject,set,included,epoch_count,exclusion_reason
02,4 to 1,True,7,
02,4 to 2,True,6,
02,4 to 3,True,6,
02,4 to 5,True,5,
02,4 to 6,True,7,
03,4 to 1,True,7,
03,4 to 2,True,5,
03,4 to 3,True,8,
03,4 to 5,True,4,
03,4 to 6,True,6,
04,4 to 1,True,6,
04,4 to 2,True,5,
04,4 to 3,True,8,
04,4 to 5,True,8,
04,4 to 6,True,8,
05,4 to 1,True,4,
05,4 to 2,True,8,
05,4 to 3,True,7,
05,4 to 5,True,5,
05,4 to 6,True,7,
08,4 to 1,True,7,
08,4 to 2,True,7,
08,4 to 3,True,6,
08,4 to 5,True,8,
08,4 to 6,True,4,
09,4 to 1,True,4,
09,4 to 2,True,7,
09,4 to 3,True,6,
09,4 to 5,True,3,
09,4 to 6,True,7,
10,4 to 1,True,3,
10,4 to 2,True,8,
10,4 to 3,True,8,
10,4 to 5,True,7,
10,4 to 6,True,7,
11,4 to 1,True,4,
11,4 to 2,True,8,
11,4 to 3,True,5,
11,4 to 5,True,8,
11,4 to 6,True,7,
12,4 to 1,True,5,
12,4 to 2,True,5,
12,4 to 3,True,4,
12,4 to 5,True,9,
12,4 to 6,True,4,
13,4 to 1,True,6,
13,4 to 2,True,8,
13,4 to 3,True,7,
13,4 to 5,True,7,
13,4 to 6,True,4,
14,4 to 1,True,6,
14,4 to 2,True,4,
14,4 to 3,True,7,
14,4 to 5,True,6,
14,4 to 6,True,8,
15,4 to 1,True,7,
15,4 to 2,True,4,
15,4 to 3,True,6,
15,4 to 5,True,4,
15,4 to 6,True,8,
17,4 to 1,True,7,
17,4 to 2,True,7,
17,4 to 3,True,8,
17,4 to 5,True,5,
17,4 to 6,True,7,
21,4 to 1,True,5,
21,4 to 2,True,6,
21,4 to 3,True,5,
21,4 to 5,True,6,
21,4 to 6,True,5,
22,4 to 1,True,7,
22,4 to 2,True,7,
22,4 to 3,True,7,
22,4 to 5,True,6,
22,4 to 6,True,5,
23,4 to 1,True,8,
23,4 to 2,True,7,
23,4 to 3,True,7,
23,4 to 5,True,8,
23,4 to 6,True,7,
25,4 to 1,True,7,
25,4 to 2,True,3,
25,4 to 3,True,6,
25,4 to 5,True,8,
25,4 to 6,True,7,
26,4 to 1,True,6,
26,4 to 2,True,4,
26,4 to 3,True,8,
26,4 to 5,True,7,
26,4 to 6,True,5,
27,4 to 1,True,8,
27,4 to 2,True,7,
27,4 to 3,True,6,
27,4 to 5,True,6,
27,4 to 6,True,7,
28,4 to 1,True,5,
28,4 to 2,True,5,
28,4 to 3,True,5,
28,4 to 5,True,5,
28,4 to 6,True,5,
29,4 to 1,True,7,
29,4 to 2,True,6,
29,4 to 3,True,7,
29,4 to 5,True,7,
29,4 to 6,True,6,
31,4 to 1,True,7,
31,4 to 2,True,7,
31,4 to 3,True,6,
31,4 to 5,True,6,
31,4 to 6,True,5,
32,4 to 1,True,7,
32,4 to 2,True,5,
32,4 to 3,True,8,
32,4 to 5,True,5,
32,4 to 6,True,7,
33,4 to 1,True,8,
33,4 to 2,True,6,
33,4 to 3,True,6,
33,4 to 5,True,6,
33,4 to 6,True,9,
