subject,set,included,epoch_count,exclusion_reason
02,4 to 1,True,7,
02,4 to 2,True,6,
02,4 to 3,True,6,
02,4 to 5,True,2,
02,4 to 6,True,6,
03,4 to 1,True,7,
03,4 to 2,True,5,
03,4 to 3,True,8,
03,4 to 5,True,1,
03,4 to 6,True,6,
04,4 to 1,True,5,
04,4 to 2,True,4,
04,4 to 3,True,7,
04,4 to 5,True,4,
04,4 to 6,True,5,
05,4 to 1,True,4,
05,4 to 2,True,7,
05,4 to 3,True,7,
05,4 to 5,True,1,
05,4 to 6,True,4,
08,4 to 1,True,7,
08,4 to 2,True,7,
08,4 to 3,True,6,
08,4 to 5,True,1,
08,4 to 6,True,4,
09,4 to 1,True,4,
09,4 to 2,True,6,
09,4 to 3,True,6,
09,4 to 5,True,1,
09,4 to 6,True,4,
10,4 to 1,True,2,
10,4 to 2,True,8,
10,4 to 3,True,8,
10,4 to 5,True,3,
10,4 to 6,True,5,
11,4 to 1,True,3,
11,4 to 2,True,5,
11,4 to 3,True,4,
11,4 to 5,True,4,
11,4 to 6,True,5,
12,4 to 1,True,5,
12,4 to 2,True,5,
12,4 to 3,True,3,
12,4 to 5,True,4,
12,4 to 6,True,1,
13,4 to 1,True,4,
13,4 to 2,True,8,
13,4 to 3,True,5,
13,4 to 5,True,1,
13,4 to 6,True,3,
14,4 to 1,True,6,
14,4 to 2,True,4,
14,4 to 3,True,6,
14,4 to 5,True,5,
14,4 to 6,True,8,
15,4 to 1,True,5,
15,4 to 2,True,2,
15,4 to 3,True,6,
15,4 to 5,True,1,
15,4 to 6,True,6,
17,4 to 1,True,7,
17,4 to 2,True,6,
17,4 to 3,True,8,
17,4 to 5,True,5,
17,4 to 6,True,7,
21,4 to 1,True,5,
21,4 to 2,True,6,
21,4 to 3,True,5,
21,4 to 5,True,2,
21,4 to 6,True,4,
22,4 to 1,True,7,
22,4 to 2,True,7,
22,4 to 3,True,4,
22,4 to 5,True,2,
22,4 to 6,True,3,
23,4 to 1,True,7,
23,4 to 2,True,6,
23,4 to 3,True,6,
23,4 to 5,True,5,
23,4 to 6,True,3,
25,4 to 1,True,7,
25,4 to 2,True,3,
25,4 to 3,True,6,
25,4 to 5,True,6,
25,4 to 6,True,6,
26,4 to 1,True,5,
26,4 to 2,True,4,
26,4 to 3,True,8,
26,4 to 5,True,7,
26,4 to 6,True,5,
27,4 to 1,True,8,
27,4 to 2,True,7,
27,4 to 3,True,6,
27,4 to 5,True,6,
27,4 to 6,True,4,
28,4 to 1,True,4,
28,4 to 2,True,5,
28,4 to 3,True,5,
28,4 to 5,True,1,
28,4 to 6,True,5,
29,4 to 1,True,7,
29,4 to 2,True,5,
29,4 to 3,True,6,
29,4 to 5,True,5,
29,4 to 6,True,4,
31,4 to 1,True,7,
31,4 to 2,True,7,
31,4 to 3,True,6,
31,4 to 5,True,6,
31,4 to 6,True,5,
32,4 to 1,True,7,
32,4 to 2,True,5,
32,4 to 3,True,7,
32,4 to 5,True,1,
32,4 to 6,True,6,
33,4 to 1,True,6,
33,4 to 2,True,5,
33,4 to 3,True,5,
33,4 to 5,True,4,
33,4 to 6,True,8,
