subject,set,included,epoch_count,exclusion_reason
02,from 1,True,29,
02,from 2,True,31,
02,from 3,True,43,
02,from 4,True,36,
02,from 5,True,35,
02,from 6,True,30,
03,from 1,True,23,
03,from 2,True,34,
03,from 3,True,40,
03,from 4,True,35,
03,from 5,True,31,
03,from 6,True,26,
04,from 1,True,27,
04,from 2,True,35,
04,from 3,True,48,
04,from 4,True,42,
04,from 5,True,33,
04,from 6,True,30,
05,from 1,True,27,
05,from 2,True,29,
05,from 3,True,37,
05,from 4,True,36,
05,from 5,True,35,
05,from 6,True,22,
08,from 1,True,26,
08,from 2,True,36,
08,from 3,True,36,
08,from 4,True,38,
08,from 5,True,29,
08,from 6,True,23,
09,from 1,True,21,
09,from 2,True,30,
09,from 3,True,30,
09,from 4,True,32,
09,from 5,True,32,
09,from 6,True,29,
10,from 1,True,27,
10,from 2,True,29,
10,from 3,True,42,
10,from 4,True,40,
10,from 5,True,34,
10,from 6,True,25,
11,from 1,True,21,
11,from 2,True,26,
11,from 3,True,36,
11,from 4,True,36,
11,from 5,True,27,
11,from 6,True,24,
12,from 1,True,19,
12,from 2,True,29,
12,from 3,True,34,
12,from 4,True,34,
12,from 5,True,30,
12,from 6,True,22,
13,from 1,True,29,
13,from 2,True,29,
13,from 3,True,40,
13,from 4,True,36,
13,from 5,True,30,
13,from 6,True,25,
14,from 1,True,25,
14,from 2,True,33,
14,from 3,True,35,
14,from 4,True,39,
14,from 5,True,33,
14,from 6,True,29,
15,from 1,True,29,
15,from 2,True,30,
15,from 3,True,34,
15,from 4,True,35,
15,from 5,True,31,
15,from 6,True,26,
17,from 1,True,23,
17,from 2,True,26,
17,from 3,True,40,
17,from 4,True,42,
17,from 5,True,29,
17,from 6,True,22,
21,from 1,True,26,
21,from 2,True,23,
21,from 3,True,34,
21,from 4,True,30,
21,from 5,True,34,
21,from 6,True,26,
22,from 1,True,23,
22,from 2,True,31,
22,from 3,True,39,
22,from 4,True,39,
22,from 5,True,35,
22,from 6,True,26,
23,from 1,True,27,
23,from 2,True,33,
23,from 3,True,40,
23,from 4,True,41,
23,from 5,True,36,
23,from 6,True,28,
25,from 1,True,28,
25,from 2,True,29,
25,from 3,True,38,
25,from 4,True,34,
25,from 5,True,27,
25,from 6,True,26,
26,from 1,True,26,
26,from 2,True,30,
26,from 3,True,35,
26,from 4,True,38,
26,from 5,True,36,
26,from 6,True,31,
27,from 1,True,30,
27,from 2,True,36,
27,from 3,True,45,
27,from 4,True,40,
27,from 5,True,31,
27,from 6,True,29,
28,from 1,True,23,
28,from 2,True,32,
28,from 3,True,32,
28,from 4,True,33,
28,from 5,True,28,
28,from 6,True,24,
29,from 1,True,25,
29,from 2,True,32,
29,from 3,True,42,
29,from 4,True,40,
29,from 5,True,37,
29,from 6,True,27,
31,from 1,True,27,
31,from 2,True,28,
31,from 3,True,40,
31,from 4,True,37,
31,from 5,True,31,
31,from 6,True,26,
32,from 1,True,22,
32,from 2,True,28,
32,from 3,True,42,
32,from 4,True,39,
32,from 5,True,30,
32,from 6,True,29,
33,from 1,True,30,
33,from 2,True,31,
33,from 3,True,36,
33,from 4,True,43,
33,from 5,True,32,
33,from 6,True,24,
