subject,set,included,epoch_count,exclusion_reason
02,from 1,True,21,
02,from 2,True,23,
02,from 3,True,33,
02,from 4,True,27,
02,from 5,True,23,
02,from 6,True,13,
03,from 1,True,19,
03,from 2,True,26,
03,from 3,True,34,
03,from 4,True,27,
03,from 5,True,14,
03,from 6,True,12,
04,from 1,True,15,
04,from 2,True,16,
04,from 3,True,28,
04,from 4,True,25,
04,from 5,True,15,
04,from 6,True,13,
05,from 1,True,17,
05,from 2,True,18,
05,from 3,True,22,
05,from 4,True,23,
05,from 5,True,20,
05,from 6,True,11,
08,from 1,True,16,
08,from 2,True,23,
08,from 3,True,25,
08,from 4,True,25,
08,from 5,True,16,
08,from 6,True,8,
09,from 1,True,15,
09,from 2,True,18,
09,from 3,True,16,
09,from 4,True,21,
09,from 5,True,20,
09,from 6,True,12,
10,from 1,True,20,
10,from 2,True,21,
10,from 3,True,30,
10,from 4,True,26,
10,from 5,True,19,
10,from 6,True,9,
11,from 1,True,15,
11,from 2,True,18,
11,from 3,True,26,
11,from 4,True,21,
11,from 5,True,14,
11,from 6,True,13,
12,from 1,True,14,
12,from 2,True,24,
12,from 3,True,23,
12,from 4,True,18,
12,from 5,True,16,
12,from 6,True,9,
13,from 1,True,17,
13,from 2,True,21,
13,from 3,True,28,
13,from 4,True,21,
13,from 5,True,20,
13,from 6,True,16,
14,from 1,True,18,
14,from 2,True,28,
14,from 3,True,29,
14,from 4,True,29,
14,from 5,True,23,
14,from 6,True,16,
15,from 1,True,16,
15,from 2,True,21,
15,from 3,True,15,
15,from 4,True,20,
15,from 5,True,9,
15,from 6,True,10,
17,from 1,True,17,
17,from 2,True,22,
17,from 3,True,33,
17,from 4,True,33,
17,from 5,True,21,
17,from 6,True,15,
21,from 1,True,18,
21,from 2,True,16,
21,from 3,True,27,
21,from 4,True,22,
21,from 5,True,19,
21,from 6,True,14,
22,from 1,True,16,
22,from 2,True,25,
22,from 3,True,30,
22,from 4,True,23,
22,from 5,True,17,
22,from 6,True,15,
23,from 1,True,17,
23,from 2,True,24,
23,from 3,True,30,
23,from 4,True,27,
23,from 5,True,23,
23,from 6,True,14,
25,from 1,True,18,
25,from 2,True,21,
25,from 3,True,28,
25,from 4,True,28,
25,from 5,True,17,
25,from 6,True,15,
26,from 1,True,18,
26,from 2,True,23,
26,from 3,True,29,
26,from 4,True,29,
26,from 5,True,22,
26,from 6,True,19,
27,from 1,True,21,
27,from 2,True,25,
27,from 3,True,35,
27,from 4,True,31,
27,from 5,True,22,
27,from 6,True,16,
28,from 1,True,16,
28,from 2,True,18,
28,from 3,True,25,
28,from 4,True,20,
28,from 5,True,15,
28,from 6,True,11,
29,from 1,True,20,
29,from 2,True,25,
29,from 3,True,29,
29,from 4,True,27,
29,from 5,True,24,
29,from 6,True,16,
31,from 1,True,20,
31,from 2,True,25,
31,from 3,True,35,
31,from 4,True,31,
31,from 5,True,23,
31,from 6,True,17,
32,from 1,True,19,
32,from 2,True,18,
32,from 3,True,31,
32,from 4,True,26,
32,from 5,True,24,
32,from 6,True,17,
33,from 1,True,17,
33,from 2,True,21,
33,from 3,True,26,
33,from 4,True,28,
33,from 5,True,18,
33,from 6,True,17,
