subject,set,included,epoch_count,exclusion_reason
02,Increase by 1,True,23,
02,Increase by 2,True,25,
02,Increase by 3,True,21,
03,Increase by 1,True,24,
03,Increase by 2,True,26,
03,Increase by 3,True,16,
04,Increase by 1,True,16,
04,Increase by 2,True,20,
04,Increase by 3,True,17,
05,Increase by 1,True,16,
05,Increase by 2,True,21,
05,Increase by 3,True,12,
08,Increase by 1,True,16,
08,Increase by 2,True,17,
08,Increase by 3,True,17,
09,Increase by 1,True,17,
09,Increase by 2,True,13,
09,Increase by 3,True,13,
10,Increase by 1,True,20,
10,Increase by 2,True,20,
10,Increase by 3,True,23,
11,Increase by 1,True,20,
11,Increase by 2,True,19,
11,Increase by 3,True,16,
12,Increase by 1,True,21,
12,Increase by 2,True,16,
12,Increase by 3,True,15,
13,Increase by 1,True,21,
13,Increase by 2,True,19,
13,Increase by 3,True,18,
14,Increase by 1,True,27,
14,Increase by 2,True,24,
14,Increase by 3,True,18,
15,Increase by 1,True,16,
15,Increase by 2,True,18,
15,Increase by 3,True,15,
17,Increase by 1,True,25,
17,Increase by 2,True,27,
17,Increase by 3,True,17,
21,Increase by 1,True,16,
21,Increase by 2,True,18,
21,Increase by 3,True,15,
22,Increase by 1,True,19,
22,Increase by 2,True,23,
22,Increase by 3,True,18,
23,Increase by 1,True,21,
23,Increase by 2,True,20,
23,Increase by 3,True,19,
25,Increase by 1,True,27,
25,Increase by 2,True,19,
25,Increase by 3,True,18,
26,Increase by 1,True,27,
26,Increase by 2,True,20,
26,Increase by 3,True,15,
27,Increase by 1,True,29,
27,Increase by 2,True,25,
27,Increase by 3,True,20,
28,Increase by 1,True,16,
28,Increase by 2,True,22,
28,Increase by 3,True,13,
29,Increase by 1,True,23,
29,Increase by 2,True,23,
29,Increase by 3,True,17,
31,Increase by 1,True,32,
31,Increase by 2,True,23,
31,Increase by 3,True,20,
32,Increase by 1,True,21,
32,Increase by 2,True,21,
32,Increase by 3,True,16,
33,Increase by 1,True,24,
33,Increase by 2,True,22,
33,Increase by 3,True,18,
