subject,set,included,epoch_count,exclusion_reason
02,Increase by 3 (Incorrect),True,1,
02,Increase by 3 (Correct),True,21,
03,Increase by 3 (Incorrect),True,3,
03,Increase by 3 (Correct),True,16,
04,Increase by 3 (Incorrect),True,4,
04,Increase by 3 (Correct),True,17,
05,Increase by 3 (Incorrect),True,3,
05,Increase by 3 (Correct),True,12,
08,Increase by 3 (Incorrect),True,3,
08,Increase by 3 (Correct),True,17,
09,Increase by 3 (Incorrect),True,5,
09,Increase by 3 (Correct),True,13,
10,Increase by 3 (Incorrect),False,0,insufficient_epochs(<1)
10,Increase by 3 (Correct),True,23,
11,Increase by 3 (Incorrect),True,4,
11,Increase by 3 (Correct),True,16,
12,Increase by 3 (Incorrect),True,1,
12,Increase by 3 (Correct),True,15,
13,Increase by 3 (Incorrect),True,2,
13,Increase by 3 (Correct),True,18,
14,Increase by 3 (Incorrect),True,1,
14,Increase by 3 (Correct),True,18,
15,Increase by 3 (Incorrect),True,6,
15,Increase by 3 (Correct),True,15,
17,Increase by 3 (Incorrect),False,0,insufficient_epochs(<1)
17,Increase by 3 (Correct),True,17,
21,Increase by 3 (Incorrect),True,1,
21,Increase by 3 (Correct),True,15,
22,Increase by 3 (Incorrect),False,0,insufficient_epochs(<1)
22,Increase by 3 (Correct),True,18,
23,Increase by 3 (Incorrect),True,2,
23,Increase by 3 (Correct),True,19,
25,Increase by 3 (Incorrect),True,4,
25,Increase by 3 (Correct),True,18,
26,Increase by 3 (Incorrect),True,1,
26,Increase by 3 (Correct),True,15,
27,Increase by 3 (Incorrect),True,3,
27,Increase by 3 (Correct),True,20,
28,Increase by 3 (Incorrect),True,1,
28,Increase by 3 (Correct),True,13,
29,Increase by 3 (Incorrect),True,3,
29,Increase by 3 (Correct),True,17,
31,Increase by 3 (Incorrect),True,1,
31,Increase by 3 (Correct),True,20,
32,Increase by 3 (Incorrect),True,2,
32,Increase by 3 (Correct),True,16,
33,Increase by 3 (Incorrect),True,2,
33,Increase by 3 (Correct),True,18,
