subject,set,included,epoch_count,exclusion_reason
02,Increase by 1 (no 1),True,17,
02,Increase by 2 (no 1),True,17,
02,Increase by 3 (no 1),True,14,
02,Decrease by 1 (no 1),True,19,
02,Decrease by 2 (no 1),True,20,
02,Decrease by 3 (no 1),True,13,
02,"Cardinality (no change, no 1)",True,29,
03,Increase by 1 (no 1),True,17,
03,Increase by 2 (no 1),True,20,
03,Increase by 3 (no 1),True,10,
03,Decrease by 1 (no 1),True,20,
03,Decrease by 2 (no 1),True,14,
03,Decrease by 3 (no 1),True,12,
03,"Cardinality (no change, no 1)",True,30,
04,Increase by 1 (no 1),True,12,
04,Increase by 2 (no 1),True,14,
04,Increase by 3 (no 1),True,12,
04,Decrease by 1 (no 1),True,17,
04,Decrease by 2 (no 1),True,17,
04,Decrease by 3 (no 1),True,9,
04,"Cardinality (no change, no 1)",True,36,
05,Increase by 1 (no 1),True,10,
05,Increase by 2 (no 1),True,16,
05,Increase by 3 (no 1),True,6,
05,Decrease by 1 (no 1),True,16,
05,Decrease by 2 (no 1),True,19,
05,Decrease by 3 (no 1),True,12,
05,"Cardinality (no change, no 1)",True,34,
08,Increase by 1 (no 1),True,10,
08,Increase by 2 (no 1),True,14,
08,Increase by 3 (no 1),True,10,
08,Decrease by 1 (no 1),True,14,
08,Decrease by 2 (no 1),True,20,
08,Decrease by 3 (no 1),True,9,
08,"Cardinality (no change, no 1)",True,34,
09,Increase by 1 (no 1),True,11,
09,Increase by 2 (no 1),True,10,
09,Increase by 3 (no 1),True,7,
09,Decrease by 1 (no 1),True,14,
09,Decrease by 2 (no 1),True,17,
09,Decrease by 3 (no 1),True,15,
09,"Cardinality (no change, no 1)",True,32,
10,Increase by 1 (no 1),True,14,
10,Increase by 2 (no 1),True,14,
10,Increase by 3 (no 1),True,15,
10,Decrease by 1 (no 1),True,18,
10,Decrease by 2 (no 1),True,19,
10,Decrease by 3 (no 1),True,12,
10,"Cardinality (no change, no 1)",True,34,
11,Increase by 1 (no 1),True,17,
11,Increase by 2 (no 1),True,13,
11,Increase by 3 (no 1),True,10,
11,Decrease by 1 (no 1),True,18,
11,Decrease by 2 (no 1),True,11,
11,Decrease by 3 (no 1),True,12,
11,"Cardinality (no change, no 1)",True,25,
12,Increase by 1 (no 1),True,17,
12,Increase by 2 (no 1),True,12,
12,Increase by 3 (no 1),True,9,
12,Decrease by 1 (no 1),True,13,
12,Decrease by 2 (no 1),True,13,
12,Decrease by 3 (no 1),True,10,
12,"Cardinality (no change, no 1)",True,25,
13,Increase by 1 (no 1),True,16,
13,Increase by 2 (no 1),True,12,
13,Increase by 3 (no 1),True,13,
13,Decrease by 1 (no 1),True,20,
13,Decrease by 2 (no 1),True,21,
13,Decrease by 3 (no 1),True,12,
13,"Cardinality (no change, no 1)",True,23,
14,Increase by 1 (no 1),True,21,
14,Increase by 2 (no 1),True,18,
14,Increase by 3 (no 1),True,12,
14,Decrease by 1 (no 1),True,22,
14,Decrease by 2 (no 1),True,18,
14,Decrease by 3 (no 1),True,13,
14,"Cardinality (no change, no 1)",True,32,
15,Increase by 1 (no 1),True,12,
15,Increase by 2 (no 1),True,12,
15,Increase by 3 (no 1),True,9,
15,Decrease by 1 (no 1),True,12,
15,Decrease by 2 (no 1),True,11,
15,Decrease by 3 (no 1),True,6,
15,"Cardinality (no change, no 1)",True,29,
17,Increase by 1 (no 1),True,20,
17,Increase by 2 (no 1),True,22,
17,Increase by 3 (no 1),True,10,
17,Decrease by 1 (no 1),True,23,
17,Decrease by 2 (no 1),True,19,
17,Decrease by 3 (no 1),True,11,
17,"Cardinality (no change, no 1)",True,30,
21,Increase by 1 (no 1),True,11,
21,Increase by 2 (no 1),True,12,
21,Increase by 3 (no 1),True,8,
21,Decrease by 1 (no 1),True,21,
21,Decrease by 2 (no 1),True,15,
21,Decrease by 3 (no 1),True,14,
21,"Cardinality (no change, no 1)",True,26,
22,Increase by 1 (no 1),True,17,
22,Increase by 2 (no 1),True,16,
22,Increase by 3 (no 1),True,11,
22,Decrease by 1 (no 1),True,15,
22,Decrease by 2 (no 1),True,21,
22,Decrease by 3 (no 1),True,12,
22,"Cardinality (no change, no 1)",True,33,
23,Increase by 1 (no 1),True,17,
23,Increase by 2 (no 1),True,15,
23,Increase by 3 (no 1),True,11,
23,Decrease by 1 (no 1),True,17,
23,Decrease by 2 (no 1),True,21,
23,Decrease by 3 (no 1),True,15,
23,"Cardinality (no change, no 1)",True,30,
25,Increase by 1 (no 1),True,20,
25,Increase by 2 (no 1),True,14,
25,Increase by 3 (no 1),True,12,
25,Decrease by 1 (no 1),True,19,
25,Decrease by 2 (no 1),True,14,
25,Decrease by 3 (no 1),True,11,
25,"Cardinality (no change, no 1)",True,31,
26,Increase by 1 (no 1),True,19,
26,Increase by 2 (no 1),True,15,
26,Increase by 3 (no 1),True,10,
26,Decrease by 1 (no 1),True,29,
26,Decrease by 2 (no 1),True,18,
26,Decrease by 3 (no 1),True,14,
26,"Cardinality (no change, no 1)",True,35,
27,Increase by 1 (no 1),True,23,
27,Increase by 2 (no 1),True,17,
27,Increase by 3 (no 1),True,13,
27,Decrease by 1 (no 1),True,22,
27,Decrease by 2 (no 1),True,20,
27,Decrease by 3 (no 1),True,12,
27,"Cardinality (no change, no 1)",True,37,
28,Increase by 1 (no 1),True,11,
28,Increase by 2 (no 1),True,15,
28,Increase by 3 (no 1),True,9,
28,Decrease by 1 (no 1),True,16,
28,Decrease by 2 (no 1),True,15,
28,Decrease by 3 (no 1),True,12,
28,"Cardinality (no change, no 1)",True,31,
29,Increase by 1 (no 1),True,17,
29,Increase by 2 (no 1),True,16,
29,Increase by 3 (no 1),True,10,
29,Decrease by 1 (no 1),True,21,
29,Decrease by 2 (no 1),True,22,
29,Decrease by 3 (no 1),True,13,
29,"Cardinality (no change, no 1)",True,34,
31,Increase by 1 (no 1),True,25,
31,Increase by 2 (no 1),True,17,
31,Increase by 3 (no 1),True,13,
31,Decrease by 1 (no 1),True,21,
31,Decrease by 2 (no 1),True,23,
31,Decrease by 3 (no 1),True,12,
31,"Cardinality (no change, no 1)",True,24,
32,Increase by 1 (no 1),True,15,
32,Increase by 2 (no 1),True,16,
32,Increase by 3 (no 1),True,8,
32,Decrease by 1 (no 1),True,22,
32,Decrease by 2 (no 1),True,20,
32,Decrease by 3 (no 1),True,15,
32,"Cardinality (no change, no 1)",True,33,
33,Increase by 1 (no 1),True,18,
33,Increase by 2 (no 1),True,18,
33,Increase by 3 (no 1),True,11,
33,Decrease by 1 (no 1),True,23,
33,Decrease by 2 (no 1),True,15,
33,Decrease by 3 (no 1),True,12,
33,"Cardinality (no change, no 1)",True,34,
