subject,set,included,epoch_count,exclusion_reason
02,Increasing Small (no 1),True,6,
02,Increasing Crossover (no 1),True,31,
02,Increasing Large (no 1),True,11,
03,Increasing Small (no 1),True,8,
03,Increasing Crossover (no 1),True,32,
03,Increasing Large (no 1),True,7,
04,Increasing Small (no 1),True,3,
04,Increasing Crossover (no 1),True,26,
04,Increasing Large (no 1),True,9,
05,Increasing Small (no 1),True,3,
05,Increasing Crossover (no 1),True,23,
05,Increasing Large (no 1),True,6,
08,Increasing Small (no 1),True,6,
08,Increasing Crossover (no 1),True,23,
08,Increasing Large (no 1),True,5,
09,Increasing Small (no 1),True,5,
09,Increasing Crossover (no 1),True,17,
09,Increasing Large (no 1),True,6,
10,Increasing Small (no 1),True,5,
10,Increasing Crossover (no 1),True,30,
10,Increasing Large (no 1),True,8,
11,Increasing Small (no 1),True,5,
11,Increasing Crossover (no 1),True,24,
11,Increasing Large (no 1),True,11,
12,Increasing Small (no 1),True,7,
12,Increasing Crossover (no 1),True,25,
12,Increasing Large (no 1),True,6,
13,Increasing Small (no 1),True,8,
13,Increasing Crossover (no 1),True,28,
13,Increasing Large (no 1),True,5,
14,Increasing Small (no 1),True,8,
14,Increasing Crossover (no 1),True,28,
14,Increasing Large (no 1),True,15,
15,Increasing Small (no 1),True,5,
15,Increasing Crossover (no 1),True,19,
15,Increasing Large (no 1),True,9,
17,Increasing Small (no 1),True,5,
17,Increasing Crossover (no 1),True,33,
17,Increasing Large (no 1),True,14,
21,Increasing Small (no 1),True,3,
21,Increasing Crossover (no 1),True,22,
21,Increasing Large (no 1),True,6,
22,Increasing Small (no 1),True,8,
22,Increasing Crossover (no 1),True,31,
22,Increasing Large (no 1),True,5,
23,Increasing Small (no 1),True,6,
23,Increasing Crossover (no 1),True,29,
23,Increasing Large (no 1),True,8,
25,Increasing Small (no 1),True,6,
25,Increasing Crossover (no 1),True,27,
25,Increasing Large (no 1),True,13,
26,Increasing Small (no 1),True,5,
26,Increasing Crossover (no 1),True,26,
26,Increasing Large (no 1),True,13,
27,Increasing Small (no 1),True,6,
27,Increasing Crossover (no 1),True,33,
27,Increasing Large (no 1),True,14,
28,Increasing Small (no 1),True,4,
28,Increasing Crossover (no 1),True,25,
28,Increasing Large (no 1),True,6,
29,Increasing Small (no 1),True,4,
29,Increasing Crossover (no 1),True,28,
29,Increasing Large (no 1),True,11,
31,Increasing Small (no 1),True,6,
31,Increasing Crossover (no 1),True,34,
31,Increasing Large (no 1),True,15,
32,Increasing Small (no 1),True,4,
32,Increasing Crossover (no 1),True,26,
32,Increasing Large (no 1),True,9,
33,Increasing Small (no 1),True,8,
33,Increasing Crossover (no 1),True,25,
33,Increasing Large (no 1),True,14,
