subject,set,included,epoch_count,exclusion_reason
02,increasing 1 to 2,True,9,
02,Cardinality2,True,9,
02,3 to 2,True,9,
02,4 to 2,True,9,
02,5 to 2,True,9,
03,increasing 1 to 2,True,9,
03,Cardinality2,True,9,
03,3 to 2,True,9,
03,4 to 2,True,9,
03,5 to 2,True,9,
04,increasing 1 to 2,True,9,
04,Cardinality2,True,9,
04,3 to 2,True,9,
04,4 to 2,True,9,
04,5 to 2,True,9,
05,increasing 1 to 2,True,9,
05,Cardinality2,True,9,
05,3 to 2,True,9,
05,4 to 2,True,9,
05,5 to 2,True,9,
08,increasing 1 to 2,True,9,
08,Cardinality2,True,9,
08,3 to 2,True,9,
08,4 to 2,True,9,
08,5 to 2,True,9,
09,increasing 1 to 2,True,9,
09,Cardinality2,True,9,
09,3 to 2,True,9,
09,4 to 2,True,9,
09,5 to 2,True,9,
10,increasing 1 to 2,True,9,
10,Cardinality2,True,9,
10,3 to 2,True,9,
10,4 to 2,True,9,
10,5 to 2,True,9,
11,increasing 1 to 2,True,9,
11,Cardinality2,True,9,
11,3 to 2,True,9,
11,4 to 2,True,9,
11,5 to 2,True,9,
12,increasing 1 to 2,True,9,
12,Cardinality2,True,9,
12,3 to 2,True,9,
12,4 to 2,True,9,
12,5 to 2,True,9,
13,increasing 1 to 2,True,9,
13,Cardinality2,True,9,
13,3 to 2,True,9,
13,4 to 2,True,9,
13,5 to 2,True,9,
14,increasing 1 to 2,True,9,
14,Cardinality2,True,9,
14,3 to 2,True,9,
14,4 to 2,True,9,
14,5 to 2,True,9,
15,increasing 1 to 2,True,9,
15,Cardinality2,True,9,
15,3 to 2,True,9,
15,4 to 2,True,9,
15,5 to 2,True,9,
17,increasing 1 to 2,True,9,
17,Cardinality2,True,9,
17,3 to 2,True,9,
17,4 to 2,True,9,
17,5 to 2,True,9,
21,increasing 1 to 2,True,9,
21,Cardinality2,True,9,
21,3 to 2,True,9,
21,4 to 2,True,9,
21,5 to 2,True,9,
22,increasing 1 to 2,True,9,
22,Cardinality2,True,9,
22,3 to 2,True,9,
22,4 to 2,True,9,
22,5 to 2,True,9,
23,increasing 1 to 2,True,9,
23,Cardinality2,True,9,
23,3 to 2,True,9,
23,4 to 2,True,9,
23,5 to 2,True,9,
25,increasing 1 to 2,True,9,
25,Cardinality2,True,9,
25,3 to 2,True,9,
25,4 to 2,True,9,
25,5 to 2,True,9,
26,increasing 1 to 2,True,9,
26,Cardinality2,True,9,
26,3 to 2,True,9,
26,4 to 2,True,9,
26,5 to 2,True,9,
27,increasing 1 to 2,True,9,
27,Cardinality2,True,9,
27,3 to 2,True,9,
27,4 to 2,True,9,
27,5 to 2,True,9,
28,increasing 1 to 2,True,9,
28,Cardinality2,True,9,
28,3 to 2,True,9,
28,4 to 2,True,9,
28,5 to 2,True,9,
29,increasing 1 to 2,True,9,
29,Cardinality2,True,9,
29,3 to 2,True,9,
29,4 to 2,True,9,
29,5 to 2,True,9,
31,increasing 1 to 2,True,9,
31,Cardinality2,True,9,
31,3 to 2,True,9,
31,4 to 2,True,9,
31,5 to 2,True,9,
32,increasing 1 to 2,True,9,
32,Cardinality2,True,9,
32,3 to 2,True,9,
32,4 to 2,True,9,
32,5 to 2,True,9,
33,increasing 1 to 2,True,9,
33,Cardinality2,True,9,
33,3 to 2,True,9,
33,4 to 2,True,9,
33,5 to 2,True,9,
