subject,set,included,epoch_count,exclusion_reason
02,Large_Increasing,True,11,
02,Large_Decreasing,True,13,
03,Large_Increasing,False,7,insufficient_epochs(<8)
03,Large_Decreasing,True,11,
04,Large_Increasing,True,9,
04,Large_Decreasing,True,13,
05,Large_Increasing,False,6,insufficient_epochs(<8)
05,Large_Decreasing,True,10,
08,Large_Increasing,False,5,insufficient_epochs(<8)
08,Large_Decreasing,True,8,
09,Large_Increasing,False,6,insufficient_epochs(<8)
09,Large_Decreasing,True,10,
10,Large_Increasing,True,8,
10,Large_Decreasing,True,10,
11,Large_Increasing,True,11,
11,Large_Decreasing,True,11,
12,Large_Increasing,False,6,insufficient_epochs(<8)
12,Large_Decreasing,True,9,
13,Large_Increasing,False,5,insufficient_epochs(<8)
13,Large_Decreasing,True,16,
14,Large_Increasing,True,15,
14,Large_Decreasing,True,18,
15,Large_Increasing,True,9,
15,Large_Decreasing,False,7,insufficient_epochs(<8)
17,Large_Increasing,True,14,
17,Large_Decreasing,True,16,
21,Large_Increasing,False,6,insufficient_epochs(<8)
21,Large_Decreasing,True,12,
22,Large_Increasing,False,5,insufficient_epochs(<8)
22,Large_Decreasing,True,13,
23,Large_Increasing,True,8,
23,Large_Decreasing,True,14,
25,Large_Increasing,True,13,
25,Large_Decreasing,True,15,
26,Large_Increasing,True,13,
26,Large_Decreasing,True,18,
27,Large_Increasing,True,14,
27,Large_Decreasing,True,15,
28,Large_Increasing,False,6,insufficient_epochs(<8)
28,Large_Decreasing,True,9,
29,Large_Increasing,True,11,
29,Large_Decreasing,True,16,
31,Large_Increasing,True,15,
31,Large_Decreasing,True,17,
32,Large_Increasing,True,9,
32,Large_Decreasing,True,16,
33,Large_Increasing,True,14,
33,Large_Decreasing,True,16,
