subject,set,included,epoch_count,exclusion_reason
02,a,True,26,
02,b,True,40,
02,c,True,32,
02,d,True,34,
02,e,True,39,
03,a,True,27,
03,b,True,41,
03,c,True,31,
03,d,True,40,
03,e,True,42,
04,a,True,26,
04,b,True,31,
04,c,True,27,
04,d,True,27,
04,e,True,35,
05,a,True,23,
05,b,True,33,
05,c,True,28,
05,d,True,40,
05,e,True,39,
08,a,True,24,
08,b,True,37,
08,c,True,27,
08,d,True,34,
08,e,True,36,
09,a,True,24,
09,b,True,34,
09,c,True,31,
09,d,True,36,
09,e,True,33,
10,a,True,26,
10,b,True,42,
10,c,True,27,
10,d,True,41,
10,e,True,40,
11,a,True,23,
11,b,True,36,
11,c,True,32,
11,d,True,40,
11,e,True,39,
12,a,True,27,
12,b,True,35,
12,c,True,27,
12,d,True,34,
12,e,True,39,
13,a,True,27,
13,b,True,34,
13,c,True,28,
13,d,True,43,
13,e,True,37,
14,a,True,31,
14,b,True,41,
14,c,True,36,
14,d,True,44,
14,e,True,45,
15,a,True,20,
15,b,True,28,
15,c,True,25,
15,d,True,26,
15,e,True,38,
17,a,True,32,
17,b,True,46,
17,c,True,37,
17,d,True,47,
17,e,True,44,
21,a,True,29,
21,b,True,40,
21,c,True,35,
21,d,True,43,
21,e,True,38,
22,a,True,28,
22,b,True,40,
22,c,True,30,
22,d,True,44,
22,e,True,40,
23,a,True,28,
23,b,True,35,
23,c,True,30,
23,d,True,41,
23,e,True,42,
25,a,True,27,
25,b,True,42,
25,c,True,35,
25,d,True,44,
25,e,True,44,
26,a,True,29,
26,b,True,42,
26,c,True,36,
26,d,True,44,
26,e,True,46,
27,a,True,29,
27,b,True,44,
27,c,True,34,
27,d,True,45,
27,e,True,42,
28,a,True,25,
28,b,True,36,
28,c,True,32,
28,d,True,37,
28,e,True,40,
29,a,True,27,
29,b,True,42,
29,c,True,34,
29,d,True,44,
29,e,True,41,
31,a,True,32,
31,b,True,44,
31,c,True,36,
31,d,True,49,
31,e,True,44,
32,a,True,30,
32,b,True,42,
32,c,True,35,
32,d,True,42,
32,e,True,37,
33,a,True,27,
33,b,True,37,
33,c,True,31,
33,d,True,44,
33,e,True,40,
