subject,set,included,epoch_count,exclusion_reason
02,a,True,26,
02,b,True,37,
02,c,True,31,
02,d,True,38,
02,e,True,36,
03,a,True,27,
03,b,True,34,
03,c,True,32,
03,d,True,34,
03,e,True,29,
04,a,True,27,
04,b,True,31,
04,c,True,33,
04,d,True,43,
04,e,True,37,
05,a,True,22,
05,b,True,33,
05,c,True,28,
05,d,True,31,
05,e,True,31,
08,a,True,22,
08,b,True,32,
08,c,True,25,
08,d,True,35,
08,e,True,34,
09,a,True,23,
09,b,True,23,
09,c,True,24,
09,d,True,36,
09,e,True,32,
10,a,True,22,
10,b,True,36,
10,c,True,30,
10,d,True,37,
10,e,True,33,
11,a,True,22,
11,b,True,28,
11,c,True,24,
11,d,True,33,
11,e,True,32,
12,a,True,22,
12,b,True,27,
12,c,True,24,
12,d,True,34,
12,e,True,32,
13,a,True,26,
13,b,True,33,
13,c,True,26,
13,d,True,37,
13,e,True,35,
14,a,True,20,
14,b,True,33,
14,c,True,28,
14,d,True,40,
14,e,True,35,
15,a,True,20,
15,b,True,34,
15,c,True,30,
15,d,True,35,
15,e,True,30,
17,a,True,22,
17,b,True,38,
17,c,True,24,
17,d,True,33,
17,e,True,29,
21,a,True,24,
21,b,True,30,
21,c,True,27,
21,d,True,31,
21,e,True,28,
22,a,True,24,
22,b,True,35,
22,c,True,29,
22,d,True,33,
22,e,True,32,
23,a,True,27,
23,b,True,35,
23,c,True,29,
23,d,True,42,
23,e,True,36,
25,a,True,20,
25,b,True,31,
25,c,True,33,
25,d,True,30,
25,e,True,28,
26,a,True,29,
26,b,True,30,
26,c,True,28,
26,d,True,35,
26,e,True,32,
27,a,True,29,
27,b,True,37,
27,c,True,26,
27,d,True,37,
27,e,True,38,
28,a,True,25,
28,b,True,29,
28,c,True,21,
28,d,True,27,
28,e,True,32,
29,a,True,25,
29,b,True,35,
29,c,True,25,
29,d,True,40,
29,e,True,39,
31,a,True,25,
31,b,True,38,
31,c,True,27,
31,d,True,38,
31,e,True,31,
32,a,True,26,
32,b,True,36,
32,c,True,29,
32,d,True,34,
32,e,True,29,
33,a,True,22,
33,b,True,35,
33,c,True,29,
33,d,True,35,
33,e,True,33,
