subject,set,included,epoch_count,exclusion_reason
02,Ratio 0.5 (1:2),True,37,
02,Ratio 0.67 (2:3),True,28,
02,Ratio 0.75 (3:4),True,13,
02,Ratio 0.8 (4:5),True,14,
02,Ratio 0.83 (5:6),True,15,
03,Ratio 0.5 (1:2),True,40,
03,Ratio 0.67 (2:3),True,28,
03,Ratio 0.75 (3:4),True,16,
03,Ratio 0.8 (4:5),True,11,
03,Ratio 0.83 (5:6),True,11,
04,Ratio 0.5 (1:2),True,35,
04,Ratio 0.67 (2:3),True,31,
04,Ratio 0.75 (3:4),True,17,
04,Ratio 0.8 (4:5),True,16,
04,Ratio 0.83 (5:6),True,16,
05,Ratio 0.5 (1:2),True,35,
05,Ratio 0.67 (2:3),True,23,
05,Ratio 0.75 (3:4),True,15,
05,Ratio 0.8 (4:5),True,12,
05,Ratio 0.83 (5:6),True,9,
08,Ratio 0.5 (1:2),True,34,
08,Ratio 0.67 (2:3),True,25,
08,Ratio 0.75 (3:4),True,11,
08,Ratio 0.8 (4:5),True,12,
08,Ratio 0.83 (5:6),True,11,
09,Ratio 0.5 (1:2),True,38,
09,Ratio 0.67 (2:3),True,23,
09,Ratio 0.75 (3:4),True,13,
09,Ratio 0.8 (4:5),True,9,
09,Ratio 0.83 (5:6),True,11,
10,Ratio 0.5 (1:2),True,37,
10,Ratio 0.67 (2:3),True,26,
10,Ratio 0.75 (3:4),True,14,
10,Ratio 0.8 (4:5),True,13,
10,Ratio 0.83 (5:6),True,15,
11,Ratio 0.5 (1:2),True,34,
11,Ratio 0.67 (2:3),True,26,
11,Ratio 0.75 (3:4),True,12,
11,Ratio 0.8 (4:5),True,13,
11,Ratio 0.83 (5:6),True,13,
12,Ratio 0.5 (1:2),True,31,
12,Ratio 0.67 (2:3),True,24,
12,Ratio 0.75 (3:4),True,9,
12,Ratio 0.8 (4:5),True,16,
12,Ratio 0.83 (5:6),True,13,
13,Ratio 0.5 (1:2),True,38,
13,Ratio 0.67 (2:3),True,24,
13,Ratio 0.75 (3:4),True,15,
13,Ratio 0.8 (4:5),True,15,
13,Ratio 0.83 (5:6),True,13,
14,Ratio 0.5 (1:2),True,38,
14,Ratio 0.67 (2:3),True,31,
14,Ratio 0.75 (3:4),True,13,
14,Ratio 0.8 (4:5),True,14,
14,Ratio 0.83 (5:6),True,12,
15,Ratio 0.5 (1:2),True,34,
15,Ratio 0.67 (2:3),True,28,
15,Ratio 0.75 (3:4),True,12,
15,Ratio 0.8 (4:5),True,8,
15,Ratio 0.83 (5:6),True,13,
17,Ratio 0.5 (1:2),True,34,
17,Ratio 0.67 (2:3),True,24,
17,Ratio 0.75 (3:4),True,16,
17,Ratio 0.8 (4:5),True,11,
17,Ratio 0.83 (5:6),True,9,
21,Ratio 0.5 (1:2),True,35,
21,Ratio 0.67 (2:3),True,18,
21,Ratio 0.75 (3:4),True,11,
21,Ratio 0.8 (4:5),True,12,
21,Ratio 0.83 (5:6),True,15,
22,Ratio 0.5 (1:2),True,35,
22,Ratio 0.67 (2:3),True,26,
22,Ratio 0.75 (3:4),True,14,
22,Ratio 0.8 (4:5),True,12,
22,Ratio 0.83 (5:6),True,12,
23,Ratio 0.5 (1:2),True,45,
23,Ratio 0.67 (2:3),True,24,
23,Ratio 0.75 (3:4),True,15,
23,Ratio 0.8 (4:5),True,15,
23,Ratio 0.83 (5:6),True,11,
25,Ratio 0.5 (1:2),True,34,
25,Ratio 0.67 (2:3),True,24,
25,Ratio 0.75 (3:4),True,13,
25,Ratio 0.8 (4:5),True,13,
25,Ratio 0.83 (5:6),True,10,
26,Ratio 0.5 (1:2),True,38,
26,Ratio 0.67 (2:3),True,25,
26,Ratio 0.75 (3:4),True,15,
26,Ratio 0.8 (4:5),True,15,
26,Ratio 0.83 (5:6),True,16,
27,Ratio 0.5 (1:2),True,42,
27,Ratio 0.67 (2:3),True,28,
27,Ratio 0.75 (3:4),True,13,
27,Ratio 0.8 (4:5),True,12,
27,Ratio 0.83 (5:6),True,13,
28,Ratio 0.5 (1:2),True,31,
28,Ratio 0.67 (2:3),True,25,
28,Ratio 0.75 (3:4),True,13,
28,Ratio 0.8 (4:5),True,9,
28,Ratio 0.83 (5:6),True,11,
29,Ratio 0.5 (1:2),True,39,
29,Ratio 0.67 (2:3),True,25,
29,Ratio 0.75 (3:4),True,14,
29,Ratio 0.8 (4:5),True,14,
29,Ratio 0.83 (5:6),True,13,
31,Ratio 0.5 (1:2),True,38,
31,Ratio 0.67 (2:3),True,27,
31,Ratio 0.75 (3:4),True,15,
31,Ratio 0.8 (4:5),True,12,
31,Ratio 0.83 (5:6),True,13,
32,Ratio 0.5 (1:2),True,36,
32,Ratio 0.67 (2:3),True,27,
32,Ratio 0.75 (3:4),True,17,
32,Ratio 0.8 (4:5),True,12,
32,Ratio 0.83 (5:6),True,10,
33,Ratio 0.5 (1:2),True,40,
33,Ratio 0.67 (2:3),True,29,
33,Ratio 0.75 (3:4),True,12,
33,Ratio 0.8 (4:5),True,12,
33,Ratio 0.83 (5:6),True,14,
