subject_id,condition,p1_amp,p1_lat_ms,n_epochs,n1_amp,n1_lat_ms,p2p_amp
02,Ratio 0.5 (1:2),1.7933330734985065,112.0,37,-3.3439071149062944,168.0,5.137240188404801
02,Ratio 0.67 (2:3),1.2196273240847515,112.0,28,-2.824904732493421,164.0,4.044532056578173
02,Ratio 0.75 (3:4),-0.22981680053630027,112.0,13,-4.863348195192663,156.0,4.633531394656363
02,Ratio 0.8 (4:5),0.21201868114022418,112.0,14,-4.244426363456395,172.0,4.456445044596618
02,Ratio 0.83 (5:6),0.41147615378168306,112.0,15,-3.3312647212518134,164.0,3.7427408750334963
03,Ratio 0.5 (1:2),5.3404074821446645,104.0,40,-6.907405467938256,152.0,12.24781295008292
03,Ratio 0.67 (2:3),4.056482033916547,100.0,28,-7.818206588912252,152.0,11.874688622828799
03,Ratio 0.75 (3:4),5.67182043863668,104.0,16,-6.227512439118219,192.0,11.8993328777549
03,Ratio 0.8 (4:5),5.7496957087793215,104.0,11,-6.819467655869197,152.0,12.569163364648517
03,Ratio 0.83 (5:6),3.8283632337168005,96.0,11,-7.896034906253991,152.0,11.724398139970791
04,Ratio 0.5 (1:2),0.8128862510767653,108.0,35,-1.9089838814065043,188.0,2.7218701324832697
04,Ratio 0.67 (2:3),-0.03655054638880239,112.0,31,-1.9939520132536366,196.0,1.9574014668648343
04,Ratio 0.75 (3:4),0.9995773372928457,100.0,17,-0.4351165239054457,184.0,1.4346938611982913
04,Ratio 0.8 (4:5),-0.17238875223077718,112.0,16,-1.2870283662579662,204.0,1.114639614027189
04,Ratio 0.83 (5:6),0.7342750513218042,108.0,16,-2.0573827187173226,184.0,2.7916577700391265
05,Ratio 0.5 (1:2),0.8926859897391551,112.0,35,-6.816919226889279,172.0,7.709605216628434
05,Ratio 0.67 (2:3),0.34306185498717007,112.0,23,-7.025375765657582,172.0,7.368437620644753
05,Ratio 0.75 (3:4),0.3283285256374709,100.0,15,-6.548345345146089,172.0,6.87667387078356
05,Ratio 0.8 (4:5),1.6095307211485137,112.0,12,-6.757042373217437,172.0,8.36657309436595
05,Ratio 0.83 (5:6),0.7347011403661909,108.0,9,-7.514992877308667,172.0,8.249694017674859
08,Ratio 0.5 (1:2),0.5345726704060535,92.0,34,-2.2079151418720246,204.0,2.7424878122780783
08,Ratio 0.67 (2:3),-0.4470236256010049,112.0,25,-3.143790656833787,200.0,2.696767031232782
08,Ratio 0.75 (3:4),2.7050257061877354,112.0,11,-4.3192420092161,204.0,7.024267715403836
08,Ratio 0.8 (4:5),-0.39535984898716175,100.0,12,-2.9193533627877737,204.0,2.5239935138006118
08,Ratio 0.83 (5:6),2.662695898782518,104.0,11,-2.7813100882811836,188.0,5.444005987063702
09,Ratio 0.5 (1:2),1.8880710809236774,108.0,38,-7.2814701510077064,172.0,9.169541231931383
09,Ratio 0.67 (2:3),1.6867882021483542,100.0,23,-6.665091729710504,172.0,8.351879931858859
09,Ratio 0.75 (3:4),0.3604748373969091,112.0,13,-3.2929220588689776,164.0,3.6533968962658867
09,Ratio 0.8 (4:5),4.617079770504511,108.0,9,-4.062861780481815,180.0,8.679941550986326
09,Ratio 0.83 (5:6),-1.1928870381116274,112.0,11,-6.990841984752576,176.0,5.797954946640949
10,Ratio 0.5 (1:2),-0.2052078670906622,104.0,37,-6.439287457288365,164.0,6.234079590197703
10,Ratio 0.67 (2:3),0.480661305924213,104.0,26,-3.6949900218497023,164.0,4.175651327773915
10,Ratio 0.75 (3:4),-0.06574134849919125,96.0,14,-5.095846165604339,176.0,5.030104817105148
10,Ratio 0.8 (4:5),-1.377585648060835,112.0,13,-5.087518720217995,176.0,3.7099330721571597
10,Ratio 0.83 (5:6),0.3715617084816852,108.0,15,-5.453172536854979,172.0,5.824734245336664
11,Ratio 0.5 (1:2),-0.48166505369409673,112.0,34,-6.6092695128565815,196.0,6.127604459162485
11,Ratio 0.67 (2:3),-1.5913147566402732,92.0,26,-6.634815216661228,204.0,5.0435004600209545
11,Ratio 0.75 (3:4),-0.9862169791844421,104.0,12,-9.794192016118235,204.0,8.807975036933792
11,Ratio 0.8 (4:5),0.4518768819762727,112.0,13,-7.927857451600432,204.0,8.379734333576705
11,Ratio 0.83 (5:6),-1.400501214458622,96.0,13,-4.897478361609695,200.0,3.496977147151073
12,Ratio 0.5 (1:2),0.9429530428780944,112.0,31,-5.555521995494834,188.0,6.498475038372928
12,Ratio 0.67 (2:3),0.8876176516842058,112.0,24,-5.418908352356355,196.0,6.306526004040561
12,Ratio 0.75 (3:4),1.6353435536368601,112.0,9,-4.534460930535754,176.0,6.169804484172614
12,Ratio 0.8 (4:5),1.150246936509401,112.0,16,-5.284497871460412,188.0,6.434744807969813
