subject,set,included,epoch_count,exclusion_reason
02,Small Ratio 0.67 (2:3),True,13,
02,Large Ratio 0.67 (4:6),True,15,
03,Small Ratio 0.67 (2:3),True,15,
03,Large Ratio 0.67 (4:6),True,13,
04,Small Ratio 0.67 (2:3),True,15,
04,Large Ratio 0.67 (4:6),True,16,
05,Small Ratio 0.67 (2:3),True,10,
05,Large Ratio 0.67 (4:6),True,13,
08,Small Ratio 0.67 (2:3),True,13,
08,Large Ratio 0.67 (4:6),True,12,
09,Small Ratio 0.67 (2:3),True,9,
09,Large Ratio 0.67 (4:6),True,14,
10,Small Ratio 0.67 (2:3),True,12,
10,Large Ratio 0.67 (4:6),True,14,
11,Small Ratio 0.67 (2:3),True,14,
11,Large Ratio 0.67 (4:6),True,12,
12,Small Ratio 0.67 (2:3),True,13,
12,Large Ratio 0.67 (4:6),True,11,
13,Small Ratio 0.67 (2:3),True,14,
13,Large Ratio 0.67 (4:6),True,10,
14,Small Ratio 0.67 (2:3),True,14,
14,Large Ratio 0.67 (4:6),True,17,
15,Small Ratio 0.67 (2:3),True,12,
15,Large Ratio 0.67 (4:6),True,16,
17,Small Ratio 0.67 (2:3),True,10,
17,Large Ratio 0.67 (4:6),True,14,
21,Small Ratio 0.67 (2:3),True,9,
21,Large Ratio 0.67 (4:6),True,9,
22,Small Ratio 0.67 (2:3),True,14,
22,Large Ratio 0.67 (4:6),True,12,
23,Small Ratio 0.67 (2:3),True,10,
23,Large Ratio 0.67 (4:6),True,14,
25,Small Ratio 0.67 (2:3),True,10,
25,Large Ratio 0.67 (4:6),True,14,
26,Small Ratio 0.67 (2:3),True,14,
26,Large Ratio 0.67 (4:6),True,11,
27,Small Ratio 0.67 (2:3),True,15,
27,Large Ratio 0.67 (4:6),True,13,
28,Small Ratio 0.67 (2:3),True,14,
28,Large Ratio 0.67 (4:6),True,11,
29,Small Ratio 0.67 (2:3),True,11,
29,Large Ratio 0.67 (4:6),True,14,
31,Small Ratio 0.67 (2:3),True,13,
31,Large Ratio 0.67 (4:6),True,14,
32,Small Ratio 0.67 (2:3),True,13,
32,Large Ratio 0.67 (4:6),True,14,
33,Small Ratio 0.67 (2:3),True,15,
33,Large Ratio 0.67 (4:6),True,14,
