subject_id,condition,p1_amp,p1_lat_ms,n_epochs,n1_amp,n1_lat_ms,p2p_amp
02,Large Ratio 0.67 (4:6),1.0801139616122994,116.0,13,-2.4626491733629265,160.0,3.542763134975226
02,Large Ratio 0.8 (4:5),0.09437431215213318,116.0,8,-4.66245236877626,164.0,4.756826680928393
02,Large Ratio 0.83 (5:6),4.263345959205326,116.0,3,-1.7804227723097297,152.0,6.043768731515056
03,Large Ratio 0.67 (4:6),5.850829953360744,96.0,12,-9.202827665767941,152.0,15.053657619128685
03,Large Ratio 0.8 (4:5),5.597591333368826,104.0,6,-8.135023420492669,156.0,13.732614753861494
04,Large Ratio 0.67 (4:6),0.4330165974434514,116.0,12,-2.903069016051039,196.0,3.3360856134944905
04,Large Ratio 0.8 (4:5),1.521927559202285,104.0,9,-2.2549958454131986,204.0,3.7769234046154834
04,Large Ratio 0.83 (5:6),1.89829217249689,112.0,1,-3.0931539275077937,204.0,4.9914461000046835
05,Large Ratio 0.67 (4:6),1.2442511619814653,108.0,8,-6.530558092403271,176.0,7.774809254384737
05,Large Ratio 0.8 (4:5),1.2655054406797839,108.0,6,-8.901087401035191,172.0,10.166592841714975
05,Large Ratio 0.83 (5:6),-1.1915859007930065,108.0,2,-11.29404407494959,172.0,10.102458174156583
08,Large Ratio 0.67 (4:6),0.6485146656038876,116.0,10,-5.99276034611787,188.0,6.641275011721758
08,Large Ratio 0.8 (4:5),5.0968222869688296,112.0,3,0.4619880689139664,176.0,4.634834218054863
09,Large Ratio 0.67 (4:6),2.2716503704510296,96.0,9,-8.197780518534795,176.0,10.469430888985825
09,Large Ratio 0.8 (4:5),3.0884057143041934,108.0,6,-5.270865988828302,168.0,8.359271703132496
09,Large Ratio 0.83 (5:6),16.40297588546067,116.0,1,-7.18817571202345,184.0,23.59115159748412
10,Large Ratio 0.67 (4:6),2.810001687813184,108.0,10,-2.4733391388719985,164.0,5.2833408266851825
10,Large Ratio 0.8 (4:5),-0.8352122283250232,116.0,8,-5.674727537518375,176.0,4.839515309193352
11,Large Ratio 0.67 (4:6),-0.35023184413645664,96.0,9,-5.419638632560894,200.0,5.069406788424438
11,Large Ratio 0.8 (4:5),-1.0253057997043795,116.0,8,-7.635124194873107,204.0,6.609818395168728
11,Large Ratio 0.83 (5:6),1.440901098073997,108.0,5,-6.914692552630807,204.0,8.355593650704805
12,Large Ratio 0.67 (4:6),4.62524166094977,116.0,4,-4.08926587753686,204.0,8.71450753848663
12,Large Ratio 0.8 (4:5),3.3899737042219718,116.0,9,-4.109590667887468,188.0,7.49956437210944
12,Large Ratio 0.83 (5:6),1.6262862869932513,108.0,2,-6.508701383368622,204.0,8.134987670361873
13,Large Ratio 0.67 (4:6),5.454155348879002,116.0,9,-2.5759284984324258,204.0,8.030083847311428
13,Large Ratio 0.8 (4:5),6.171483882690389,116.0,8,-2.930159561862896,204.0,9.101643444553284
13,Large Ratio 0.83 (5:6),5.343686932421757,116.0,4,-4.613417623804316,204.0,9.957104556226072
14,Large Ratio 0.67 (4:6),0.4605235613984701,116.0,16,-3.8764235526652477,152.0,4.336947114063718
14,Large Ratio 0.8 (4:5),-0.6967391046955206,116.0,13,-7.8836268186557,176.0,7.1868877139601794
14,Large Ratio 0.83 (5:6),1.7373177110707856,96.0,4,-2.3130647905174717,156.0,4.050382501588257
15,Large Ratio 0.67 (4:6),-0.6777406806155966,96.0,11,-6.043371331277874,184.0,5.365630650662277
15,Large Ratio 0.8 (4:5),4.848745505834799,104.0,3,-3.907165045701537,156.0,8.755910551536337
15,Large Ratio 0.83 (5:6),-0.096592160255371,112.0,2,-6.742392561347872,156.0,6.645800401092501
17,Large Ratio 0.67 (4:6),4.10236565168973,116.0,13,-5.558420908505966,176.0,9.660786560195696
17,Large Ratio 0.8 (4:5),3.582372589825963,116.0,11,-6.51785648839262,172.0,10.100229078218582
17,Large Ratio 0.83 (5:6),2.519771680239581,116.0,6,-6.548209629825473,192.0,9.067981310065054
21,Large Ratio 0.67 (4:6),-2.510702615682658,116.0,6,-12.821561262405538,196.0,10.310858646722881
21,Large Ratio 0.8 (4:5),1.4382162609287148,96.0,7,-10.11301668280344,196.0,11.551232943732156
21,Large Ratio 0.83 (5:6),-0.041202410047976784,96.0,5,-8.978885156280695,184.0,8.937682746232719
22,Large Ratio 0.67 (4:6),-3.307889959842135,96.0,10,-4.421509798768502,152.0,1.1136198389263674
22,Large Ratio 0.8 (4:5),-2.417248171501832,96.0,6,-9.783389801063228,140.0,7.366141629561396
22,Large Ratio 0.83 (5:6),5.0966705008585205,96.0,2,-4.005805772505717,160.0,9.102476273364237
23,Large Ratio 0.67 (4:6),-0.5007858581770219,112.0,10,-12.834729787072362,172.0,12.33394392889534
23,Large Ratio 0.8 (4:5),1.5597088424371668,96.0,12,-8.931866114742851,160.0,10.491574957180017
25,Large Ratio 0.67 (4:6),1.250448942097799,96.0,12,-10.18319657466606,144.0,11.433645516763859
25,Large Ratio 0.8 (4:5),-2.9742256887552183,96.0,11,-11.23799387958208,148.0,8.26376819082686
25,Large Ratio 0.83 (5:6),2.3103213943682874,96.0,5,-9.303966384441651,140.0,11.614287778809938
26,Large Ratio 0.67 (4:6),1.1987643980624096,96.0,11,-8.184725785144856,188.0,9.383490183207266
26,Large Ratio 0.8 (4:5),0.45652540589813556,96.0,14,-4.429966660495743,176.0,4.8864920663938785
