subject,set,included,epoch_count,exclusion_reason
02,Small Ratio 0.33 (1:3),True,15,
02,Small Ratio 0.5 (1:2),True,11,
02,Small Ratio 0.67 (2:3),True,13,
03,Small Ratio 0.33 (1:3),True,11,
03,Small Ratio 0.5 (1:2),True,15,
03,Small Ratio 0.67 (2:3),True,15,
04,Small Ratio 0.33 (1:3),True,14,
04,Small Ratio 0.5 (1:2),True,7,
04,Small Ratio 0.67 (2:3),True,7,
05,Small Ratio 0.33 (1:3),True,11,
05,Small Ratio 0.5 (1:2),True,11,
05,Small Ratio 0.67 (2:3),True,6,
08,Small Ratio 0.33 (1:3),True,9,
08,Small Ratio 0.5 (1:2),True,13,
08,Small Ratio 0.67 (2:3),True,12,
09,Small Ratio 0.33 (1:3),True,6,
09,Small Ratio 0.5 (1:2),True,12,
09,Small Ratio 0.67 (2:3),True,8,
10,Small Ratio 0.33 (1:3),True,11,
10,Small Ratio 0.5 (1:2),True,12,
10,Small Ratio 0.67 (2:3),True,10,
11,Small Ratio 0.33 (1:3),True,10,
11,Small Ratio 0.5 (1:2),True,7,
11,Small Ratio 0.67 (2:3),True,12,
12,Small Ratio 0.33 (1:3),True,10,
12,Small Ratio 0.5 (1:2),True,9,
12,Small Ratio 0.67 (2:3),True,11,
13,Small Ratio 0.33 (1:3),True,12,
13,Small Ratio 0.5 (1:2),True,8,
13,Small Ratio 0.67 (2:3),True,13,
14,Small Ratio 0.33 (1:3),True,12,
14,Small Ratio 0.5 (1:2),True,15,
14,Small Ratio 0.67 (2:3),True,14,
15,Small Ratio 0.33 (1:3),True,9,
15,Small Ratio 0.5 (1:2),True,9,
15,Small Ratio 0.67 (2:3),True,9,
17,Small Ratio 0.33 (1:3),True,12,
17,Small Ratio 0.5 (1:2),True,10,
17,Small Ratio 0.67 (2:3),True,10,
21,Small Ratio 0.33 (1:3),True,13,
21,Small Ratio 0.5 (1:2),True,10,
21,Small Ratio 0.67 (2:3),True,9,
22,Small Ratio 0.33 (1:3),True,13,
22,Small Ratio 0.5 (1:2),True,7,
22,Small Ratio 0.67 (2:3),True,13,
23,Small Ratio 0.33 (1:3),True,12,
23,Small Ratio 0.5 (1:2),True,12,
23,Small Ratio 0.67 (2:3),True,10,
25,Small Ratio 0.33 (1:3),True,10,
25,Small Ratio 0.5 (1:2),True,14,
25,Small Ratio 0.67 (2:3),True,10,
26,Small Ratio 0.33 (1:3),True,9,
26,Small Ratio 0.5 (1:2),True,16,
26,Small Ratio 0.67 (2:3),True,14,
27,Small Ratio 0.33 (1:3),True,15,
27,Small Ratio 0.5 (1:2),True,13,
27,Small Ratio 0.67 (2:3),True,13,
28,Small Ratio 0.33 (1:3),True,11,
28,Small Ratio 0.5 (1:2),True,8,
28,Small Ratio 0.67 (2:3),True,11,
29,Small Ratio 0.33 (1:3),True,14,
29,Small Ratio 0.5 (1:2),True,14,
29,Small Ratio 0.67 (2:3),True,11,
31,Small Ratio 0.33 (1:3),True,14,
31,Small Ratio 0.5 (1:2),True,12,
31,Small Ratio 0.67 (2:3),True,13,
32,Small Ratio 0.33 (1:3),True,13,
32,Small Ratio 0.5 (1:2),True,11,
32,Small Ratio 0.67 (2:3),True,10,
33,Small Ratio 0.33 (1:3),True,6,
33,Small Ratio 0.5 (1:2),True,11,
33,Small Ratio 0.67 (2:3),True,15,
