analysis_id,component,condition,n_subjects,peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms,mean_amplitude_roi,roi_channels
small_increasing_vs_decreasing_ACC1,P1,Small_Increasing,24,108.0,98.06170499556978,116.85848857228311,18.796783576713324,-3.646118510278271e-08,E71;E75;E76;E70;E83;E74;E81;E82
small_increasing_vs_decreasing_ACC1,P1,Small_Decreasing,24,108.0,98.06170499556978,116.85848857228311,18.796783576713324,1.0974461682903706e-06,E71;E75;E76;E70;E83;E74;E81;E82
small_increasing_vs_decreasing_ACC1,P1,decreasing 3 to 2,1,108.0,98.06170499556978,116.85848857228311,18.796783576713324,8.630326579629125e-08,E71;E75;E76;E70;E83;E74;E81;E82
small_increasing_vs_decreasing_ACC1,P1,increasing 2 to 3,5,108.0,98.06170499556978,116.85848857228311,18.796783576713324,1.3505954506641268e-06,E71;E75;E76;E70;E83;E74;E81;E82
small_increasing_vs_decreasing_ACC1,N1,Small_Increasing,24,176.0,156.8651459632119,211.12412898889096,54.25898302567907,-3.354824635904698e-06,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
small_increasing_vs_decreasing_ACC1,N1,Small_Decreasing,24,176.0,156.8651459632119,211.12412898889096,54.25898302567907,-2.5085443686931125e-06,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
small_increasing_vs_decreasing_ACC1,N1,decreasing 3 to 2,1,176.0,156.8651459632119,211.12412898889096,54.25898302567907,-3.5226710834904227e-06,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
small_increasing_vs_decreasing_ACC1,N1,increasing 2 to 3,5,176.0,156.8651459632119,211.12412898889096,54.25898302567907,-2.963520785207045e-06,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
small_increasing_vs_decreasing_ACC1,P3b,Small_Increasing,24,572.0,554.9283321513353,589.5065822196387,34.57825006830342,7.667293227648582e-07,E62;E78;E77;E72;E67;E61;E54;E55;E79
small_increasing_vs_decreasing_ACC1,P3b,Small_Decreasing,24,572.0,554.9283321513353,589.5065822196387,34.57825006830342,1.9060038598309994e-06,E62;E78;E77;E72;E67;E61;E54;E55;E79
small_increasing_vs_decreasing_ACC1,P3b,decreasing 3 to 2,1,572.0,554.9283321513353,589.5065822196387,34.57825006830342,-2.0891334454861454e-06,E62;E78;E77;E72;E67;E61;E54;E55;E79
small_increasing_vs_decreasing_ACC1,P3b,increasing 2 to 3,5,572.0,554.9283321513353,589.5065822196387,34.57825006830342,5.942895172959929e-07,E62;E78;E77;E72;E67;E61;E54;E55;E79
