subject,set,included,epoch_count,exclusion_reason,roi_available_vs_required
02,Small_Increasing,True,24,,25/4
02,Small_Decreasing,True,22,,25/4
03,Small_Increasing,True,27,,25/4
03,Small_Decreasing,True,25,,25/4
04,Small_Increasing,True,18,,25/4
04,Small_Decreasing,True,19,,25/4
05,Small_Increasing,True,19,,25/4
05,Small_Decreasing,True,24,,25/4
08,Small_Increasing,True,21,,25/4
08,Small_Decreasing,True,25,,25/4
09,Small_Increasing,True,23,,25/4
09,Small_Decreasing,True,21,,25/4
10,Small_Increasing,True,23,,25/4
10,Small_Decreasing,True,23,,25/4
11,Small_Increasing,True,23,,25/4
11,Small_Decreasing,True,23,,25/4
12,Small_Increasing,True,25,,25/4
12,Small_Decreasing,True,21,,25/4
13,Small_Increasing,True,25,,25/4
13,Small_Decreasing,True,17,,25/4
14,Small_Increasing,True,26,,25/4
14,Small_Decreasing,True,27,,25/4
15,Small_Increasing,True,18,,25/4
15,Small_Decreasing,True,18,,25/4
17,Small_Increasing,True,27,,25/4
17,Small_Decreasing,True,27,,25/4
21,Small_Increasing,True,25,,25/4
21,Small_Decreasing,True,25,,25/4
22,Small_Increasing,True,26,,25/4
22,Small_Decreasing,True,24,,25/4
23,Small_Increasing,True,23,,25/4
23,Small_Decreasing,True,26,,25/4
25,Small_Increasing,True,26,,25/4
25,Small_Decreasing,True,27,,25/4
26,Small_Increasing,True,26,,25/4
26,Small_Decreasing,True,27,,25/4
27,Small_Increasing,True,25,,25/4
27,Small_Decreasing,True,25,,25/4
28,Small_Increasing,True,24,,25/4
28,Small_Decreasing,True,22,,25/4
29,Small_Increasing,True,27,,25/4
29,Small_Decreasing,True,26,,25/4
31,Small_Increasing,True,27,,25/4
31,Small_Decreasing,True,27,,25/4
32,Small_Increasing,True,25,,25/4
32,Small_Decreasing,True,24,,25/4
33,Small_Increasing,True,23,,25/4
33,Small_Decreasing,True,22,,25/4
